Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Research Independent Study | NEUROBIO 393,IND Section 01,9838,5,5,0.0,2021-06-27 17:30:04.324916
Research Independent Study | NEUROBIO 393,IND Section 02,9839,5,5,0.0,2021-06-27 17:30:06.758289
Research Independent Study | NEUROBIO 393,IND Section 03,9840,5,5,0.0,2021-06-27 17:30:09.205020
Research Independent Study | NEUROBIO 393,IND Section 04,9841,4,5,20.0,2021-06-27 17:30:11.591976
Research Independent Study | NEUROBIO 393,IND Section 05,9842,5,5,0.0,2021-06-27 17:30:13.968272
Research Independent Study | NEUROBIO 393,IND Section 06,9843,4,5,20.0,2021-06-27 17:30:16.349924
Research Independent Study | NEUROBIO 393,IND Section 07,9844,5,5,0.0,2021-06-27 17:30:18.783276
Research Independent Study | NEUROBIO 393,IND Section 08,9845,5,5,0.0,2021-06-27 17:30:21.163021
Research Independent Study | NEUROBIO 393,IND Section 09,9846,4,5,20.0,2021-06-27 17:30:23.597047
Research Independent Study | NEUROBIO 393,IND Section 10,9847,5,5,0.0,2021-06-27 17:30:25.954600
Research Independent Study | NEUROBIO 393,IND Section 11,9848,5,5,0.0,2021-06-27 17:30:28.350209
Research Independent Study | NEUROBIO 393,IND Section 12,9849,4,5,20.0,2021-06-27 17:30:30.717758
Research Independent Study | NEUROBIO 393,IND Section 13,9850,5,5,0.0,2021-06-27 17:30:33.182974
Research Independent Study | NEUROBIO 393,IND Section 14,9851,5,5,0.0,2021-06-27 17:30:35.730761
Research Independent Study | NEUROBIO 393,IND Section 15,9852,5,5,0.0,2021-06-27 17:30:38.129471
Research Independent Study | NEUROBIO 393,IND Section 16,9853,3,5,40.0,2021-06-27 17:30:40.447764
Research Independent Study | NEUROBIO 393,IND Section 17,9854,5,5,0.0,2021-06-27 17:30:42.785199
Research Independent Study | NEUROBIO 393,IND Section 18,9855,5,5,0.0,2021-06-27 17:30:45.122644
Research Independent Study | NEUROBIO 393,IND Section 19,9856,5,5,0.0,2021-06-27 17:30:47.442684
Research Independent Study | NEUROBIO 393,IND Section 20,9857,5,5,0.0,2021-06-27 17:30:49.781735
Research Independent Study | NEUROBIO 393,IND Section 21,9858,5,5,0.0,2021-06-27 17:30:52.106183
Research Independent Study | NEUROBIO 393,IND Section 22,9859,5,5,0.0,2021-06-27 17:30:54.435844
Research Independent Study | NEUROBIO 393,IND Section 23,9860,5,5,0.0,2021-06-27 17:30:56.761111
Research Independent Study | NEUROBIO 393,IND Section 24,9861,5,5,0.0,2021-06-27 17:30:59.216120
Research Independent Study | NEUROBIO 393,IND Section 25,9862,5,5,0.0,2021-06-27 17:31:01.699829
Research Independent Study | NEUROBIO 393,IND Section 26,9863,5,5,0.0,2021-06-27 17:31:04.154284
Research Independent Study | NEUROBIO 393,IND Section 27,9864,5,5,0.0,2021-06-27 17:31:06.595145
Research Independent Study | NEUROBIO 393,IND Section 28,9865,5,5,0.0,2021-06-27 17:31:08.981144
Research Independent Study | NEUROBIO 393,IND Section 29,9866,5,5,0.0,2021-06-27 17:31:11.367943
Research Independent Study | NEUROBIO 393,IND Section 30,9867,5,5,0.0,2021-06-27 17:31:13.714519
Research Independent Study | NEUROBIO 393,IND Section 31,9868,5,5,0.0,2021-06-27 17:31:16.028418
Research Independent Study | NEUROBIO 393,IND Section 32,9869,4,5,20.0,2021-06-27 17:31:18.350905
Research Independent Study | NEUROBIO 393,IND Section 33,9870,4,5,20.0,2021-06-27 17:31:20.678554
Research Independent Study | NEUROBIO 393,IND Section 34,9871,5,5,0.0,2021-06-27 17:31:23.027809
Research Independent Study | NEUROBIO 393,IND Section 35,9872,5,5,0.0,2021-06-27 17:31:25.383224
Research Independent Study | NEUROBIO 393,IND Section 36,9873,5,5,0.0,2021-06-27 17:31:27.697330
Research Independent Study | NEUROBIO 393,IND Section 37,9874,5,5,0.0,2021-06-27 17:31:30.034468
Research Independent Study | NEUROBIO 393,IND Section 38,9875,5,5,0.0,2021-06-27 17:31:32.383632
Research Independent Study | NEUROBIO 393,IND Section 39,9876,5,5,0.0,2021-06-27 17:31:34.735766
Research Independent Study | NEUROBIO 393,IND Section 40,9877,5,5,0.0,2021-06-27 17:31:37.122140
Research Independent Study | NEUROBIO 393,IND Section 41,9878,5,5,0.0,2021-06-27 17:31:39.594408
Research Independent Study | NEUROBIO 393,IND Section 42,9879,5,5,0.0,2021-06-27 17:31:41.967800
Research Independent Study | NEUROBIO 393,IND Section 43,9880,5,5,0.0,2021-06-27 17:31:44.368324
Research Independent Study | NEUROBIO 393,IND Section 44,9881,5,5,0.0,2021-06-27 17:31:46.719962
Research Independent Study | NEUROBIO 393,IND Section 45,9882,5,5,0.0,2021-06-27 17:31:49.080923
Research Independent Study | NEUROBIO 393,IND Section 46,9883,4,5,20.0,2021-06-27 17:31:51.419644
Research Independent Study | NEUROBIO 393,IND Section 47,9884,5,5,0.0,2021-06-27 17:31:53.764606
Research Independent Study | NEUROBIO 393,IND Section 48,9885,5,5,0.0,2021-06-27 17:31:56.112422
Research Independent Study | NEUROBIO 393,IND Section 49,9886,5,5,0.0,2021-06-27 17:31:58.458384
Research Independent Study | NEUROBIO 393,IND Section 50,9887,5,5,0.0,2021-06-27 17:32:00.812053
Research Independent Study | NEUROBIO 393,IND Section 51,9888,3,5,40.0,2021-06-27 17:32:03.174465
Research Independent Study | NEUROBIO 393,IND Section 52,11303,4,5,20.0,2021-06-27 17:32:05.557674
Research Independent Study | NEUROBIO 393,IND Section 01,9838,5,5,0.0,2021-06-27 18:26:30.552522
Research Independent Study | NEUROBIO 393,IND Section 02,9839,5,5,0.0,2021-06-27 18:26:32.915175
Research Independent Study | NEUROBIO 393,IND Section 03,9840,5,5,0.0,2021-06-27 18:26:35.299222
Research Independent Study | NEUROBIO 393,IND Section 04,9841,4,5,20.0,2021-06-27 18:26:37.638521
Research Independent Study | NEUROBIO 393,IND Section 05,9842,5,5,0.0,2021-06-27 18:26:39.959391
Research Independent Study | NEUROBIO 393,IND Section 06,9843,4,5,20.0,2021-06-27 18:26:42.273678
Research Independent Study | NEUROBIO 393,IND Section 07,9844,5,5,0.0,2021-06-27 18:26:44.600186
Research Independent Study | NEUROBIO 393,IND Section 08,9845,5,5,0.0,2021-06-27 18:26:46.914545
