Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Special Topics in Writing | GSF 80S,SEM Section 01,10325,0,15,100.0,2021-06-27 17:26:04.054436
First-Year Seminar in Gender Studies | GSF 89S,SEM Section 01,5171,6,15,60.0,2021-06-27 17:26:06.519622
First-Year Seminar in Gender Studies | GSF 89S,SEM Section 02,9436,0,18,100.0,2021-06-27 17:26:09.022717
Gateway Seminar: Gender and Everyday Life | GSF 101S,SEM Section 01,5154,7,18,61.111111111111114,2021-06-27 17:26:11.395167
"Gateway Seminar: The Global Sixties: Race, Revolution, Sexuality | GSF 160S",SEM Section 01,7086,0,18,100.0,2021-06-27 17:26:13.727905
Comparative Approaches to Global Issues | GSF 195,Lecture Section 01,5407,7,44,84.0909090909091,2021-06-27 17:26:16.064183
Comparative Approaches to Global Issues | GSF 195,Lecture Section 02,5412,3,5,40.0,2021-06-27 17:26:18.404728
Thinking Gender: An Introduction to Feminist Theory | GSF 199S,SEM Section 01,5155,5,15,66.66666666666666,2021-06-27 17:26:20.750339
Gender and Culture | GSF 217,Lecture Section 01,10319,13,25,48.0,2021-06-27 17:26:23.145204
Gender and Culture | GSF 217,Lecture Section 02,10322,2,5,60.0,2021-06-27 17:26:25.529637
Gender and Language | GSF 232,Lecture Section 01,4396,1,16,93.75,2021-06-27 17:26:27.898923
"Women, Gender, and Sexuality in U.S. History | GSF 239",Lecture Section 01,7147,7,40,82.5,2021-06-27 17:26:30.318155
Book Publishing & Marketing: A Case Study of the Romance Fiction Industry | GSF 248S,SEM Section 01,7107,0,18,100.0,2021-06-27 17:26:32.741750
Medieval Christianity in Film and Fiction | GSF 261,Lecture Section 01,11150,35,45,22.22222222222222,2021-06-27 17:26:35.140937
Introduction to Digital Feminism | GSF 265S,SEM Section 01,5156,0,15,100.0,2021-06-27 17:26:37.532199
Gender and Sexuality in the Ancient World | GSF 266,Lecture Section 01,4057,25,30,16.666666666666664,2021-06-27 17:26:39.974550
Sexuality and the Law | GSF 272S,SEM Section 01,7762,3,15,80.0,2021-06-27 17:26:42.589919
Masculinities & Global Politics | GSF 274S,SEM Section 01,5162,6,15,60.0,2021-06-27 17:26:45.103508
"Food, Farming, and Feminism | GSF 275",Lecture Section 01,5157,1,28,96.42857142857143,2021-06-27 17:26:47.512988
Global South Asia: History and Culture of Diaspora | GSF 288S,SEM Section 01,10533,2,15,86.66666666666667,2021-06-27 17:26:49.994620
Independent Study | GSF 291,IND Section 01,11229,0,1,100.0,2021-06-27 17:26:52.399992
Independent Study | GSF 291,IND Section 02,11230,1,1,0.0,2021-06-27 17:26:54.908843
Research Independent Study | GSF 293,IND Section 01,11370,0,1,100.0,2021-06-27 17:26:57.328348
Global Humanitarianism | GSF 298S,SEM Section 01,5416,6,15,60.0,2021-06-27 17:26:59.774723
Global Humanitarianism | GSF 298S,SEM Section 02,5418,1,2,50.0,2021-06-27 17:27:02.135870
Theory Today: Introduction to the Study of Literature | GSF 301S,SEM Section 01,6158,3,18,83.33333333333334,2021-06-27 17:27:04.507774
Understanding Mediation | GSF 325S,SEM Section 01,6169,2,12,83.33333333333334,2021-06-27 17:27:06.963808
"Decolonization: Histories, Meanings, Struggles | GSF 335S",SEM Section 01,5414,1,16,93.75,2021-06-27 17:27:09.292992
"Money, Sex, Power | GSF 361",Lecture Section 01,5158,0,15,100.0,2021-06-27 17:27:11.632445
Gender and Popular Culture | GSF 362S,SEM Section 01,5159,3,15,80.0,2021-06-27 17:27:13.935795
Interpreting Bodies: Identity and Beyond | GSF 363S,SEM Section 01,5160,9,15,40.0,2021-06-27 17:27:16.250272
Black Feminist Theory | GSF 376S,SEM Section 01,5163,3,15,80.0,2021-06-27 17:27:18.580672
Special Topics in Women's Studies | GSF 390,Lecture Section 02,11332,2,28,92.85714285714286,2021-06-27 17:27:21.001306
Special Topics in Women's Studies | GSF 390S,SEM Section 01,5682,4,12,66.66666666666666,2021-06-27 17:27:23.308829
Indigenous Americas | GSF 405S,SEM Section 01,10328,2,15,86.66666666666667,2021-06-27 17:27:25.655587
Indigenous Americas | GSF 405S,SEM Section 02,10331,0,3,100.0,2021-06-27 17:27:28.088456
Honors Independent Study | GSF 494,IND Section 01,11141,0,1,100.0,2021-06-27 17:27:30.528853
Special Topics in Writing | GSF 80S,SEM Section 01,10325,0,15,100.0,2021-06-27 18:22:45.554669
First-Year Seminar in Gender Studies | GSF 89S,SEM Section 01,5171,6,15,60.0,2021-06-27 18:22:47.939522
First-Year Seminar in Gender Studies | GSF 89S,SEM Section 02,9436,0,18,100.0,2021-06-27 18:22:50.338058
Gateway Seminar: Gender and Everyday Life | GSF 101S,SEM Section 01,5154,7,18,61.111111111111114,2021-06-27 18:22:52.737900
"Gateway Seminar: The Global Sixties: Race, Revolution, Sexuality | GSF 160S",SEM Section 01,7086,0,18,100.0,2021-06-27 18:22:55.092267
Comparative Approaches to Global Issues | GSF 195,Lecture Section 01,5407,7,44,84.0909090909091,2021-06-27 18:22:57.455902
Comparative Approaches to Global Issues | GSF 195,Lecture Section 02,5412,3,5,40.0,2021-06-27 18:22:59.801802
Thinking Gender: An Introduction to Feminist Theory | GSF 199S,SEM Section 01,5155,5,15,66.66666666666666,2021-06-27 18:23:02.171238
Gender and Culture | GSF 217,Lecture Section 01,10319,13,25,48.0,2021-06-27 18:23:04.573424
Gender and Culture | GSF 217,Lecture Section 02,10322,2,5,60.0,2021-06-27 18:23:06.956665
Gender and Language | GSF 232,Lecture Section 01,4396,1,16,93.75,2021-06-27 18:23:09.288466
"Women, Gender, and Sexuality in U.S. History | GSF 239",Lecture Section 01,7147,7,40,82.5,2021-06-27 18:23:11.686764
Book Publishing & Marketing: A Case Study of the Romance Fiction Industry | GSF 248S,SEM Section 01,7107,0,18,100.0,2021-06-27 18:23:14.092373
Medieval Christianity in Film and Fiction | GSF 261,Lecture Section 01,11150,35,45,22.22222222222222,2021-06-27 18:23:16.586748
Introduction to Digital Feminism | GSF 265S,SEM Section 01,5156,0,15,100.0,2021-06-27 18:23:18.967766
Gender and Sexuality in the Ancient World | GSF 266,Lecture Section 01,4057,25,30,16.666666666666664,2021-06-27 18:23:21.302826
Sexuality and the Law | GSF 272S,SEM Section 01,7762,3,15,80.0,2021-06-27 18:23:23.638947
Masculinities & Global Politics | GSF 274S,SEM Section 01,5162,6,15,60.0,2021-06-27 18:23:25.984370
"Food, Farming, and Feminism | GSF 275",Lecture Section 01,5157,1,28,96.42857142857143,2021-06-27 18:23:28.311483
Global South Asia: History and Culture of Diaspora | GSF 288S,SEM Section 01,10533,2,15,86.66666666666667,2021-06-27 18:23:30.704426
Independent Study | GSF 291,IND Section 01,11229,0,1,100.0,2021-06-27 18:23:33.092313
Independent Study | GSF 291,IND Section 02,11230,1,1,0.0,2021-06-27 18:23:35.457720
Research Independent Study | GSF 293,IND Section 01,11370,0,1,100.0,2021-06-27 18:23:37.943121
Global Humanitarianism | GSF 298S,SEM Section 01,5416,6,15,60.0,2021-06-27 18:23:40.283523
Global Humanitarianism | GSF 298S,SEM Section 02,5418,1,2,50.0,2021-06-27 18:23:42.658053
Theory Today: Introduction to the Study of Literature | GSF 301S,SEM Section 01,6158,3,18,83.33333333333334,2021-06-27 18:23:45.019081
Understanding Mediation | GSF 325S,SEM Section 01,6169,2,12,83.33333333333334,2021-06-27 18:23:47.346696
"Decolonization: Histories, Meanings, Struggles | GSF 335S",SEM Section 01,5414,1,16,93.75,2021-06-27 18:23:49.673488
"Money, Sex, Power | GSF 361",Lecture Section 01,5158,0,15,100.0,2021-06-27 18:23:52.003920
Gender and Popular Culture | GSF 362S,SEM Section 01,5159,3,15,80.0,2021-06-27 18:23:54.367112
Interpreting Bodies: Identity and Beyond | GSF 363S,SEM Section 01,5160,9,15,40.0,2021-06-27 18:23:56.796999
Black Feminist Theory | GSF 376S,SEM Section 01,5163,3,15,80.0,2021-06-27 18:23:59.102616
Special Topics in Women's Studies | GSF 390,Lecture Section 02,11332,2,28,92.85714285714286,2021-06-27 18:24:01.482930
Special Topics in Women's Studies | GSF 390S,SEM Section 01,5682,4,12,66.66666666666666,2021-06-27 18:24:03.787552
Indigenous Americas | GSF 405S,SEM Section 01,10328,2,15,86.66666666666667,2021-06-27 18:24:06.137436
Indigenous Americas | GSF 405S,SEM Section 02,10331,0,3,100.0,2021-06-27 18:24:08.535772
Honors Independent Study | GSF 494,IND Section 01,11141,0,1,100.0,2021-06-27 18:24:10.931441
