Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
"First Year Seminar: Special Topics in Policy, Journalism and Media Studies | PJMS 89S",SEM Section 01,3068,0,8,100.0,2021-06-27 17:32:01.154783
"First Year Seminar: Special Topics in Policy, Journalism and Media Studies | PJMS 89S",SEM Section 02,3069,0,4,100.0,2021-06-27 17:32:03.523025
Art of the Interview | PJMS 364S,SEM Section 01,3043,4,12,66.66666666666666,2021-06-27 17:32:05.886367
Video Journalism | PJMS 365S,SEM Section 01,3044,0,6,100.0,2021-06-27 17:32:08.291682
Video Journalism | PJMS 365S,SEM Section 02,3045,0,6,100.0,2021-06-27 17:32:10.650175
News Writing and Reporting | PJMS 367S,SEM Section 01,3046,-1,8,112.5,2021-06-27 17:32:13.086649
News Writing and Reporting | PJMS 367S,SEM Section 02,3047,3,4,25.0,2021-06-27 17:32:15.482309
News as a Moral Battleground | PJMS 371,Lecture Section 01,3048,0,15,100.0,2021-06-27 17:32:17.929130
News as a Moral Battleground | PJMS 371,Lecture Section 02,3049,1,10,90.0,2021-06-27 17:32:20.342663
Special Topics in Policy Journalism and Media Studies | PJMS 390S,SEM Section 10,3050,-1,8,112.5,2021-06-27 17:32:22.728546
Special Topics in Policy Journalism and Media Studies | PJMS 390S,SEM Section 20,3052,2,15,86.66666666666667,2021-06-27 17:32:25.170679
Special Topics in Policy Journalism and Media Studies | PJMS 390S,SEM Section 30,3053,1,6,83.33333333333334,2021-06-27 17:32:27.660448
Special Topics in Policy Journalism and Media Studies | PJMS 390S,SEM Section 31,3054,1,6,83.33333333333334,2021-06-27 17:32:30.158335
Special Topics in Policy Journalism and Media Studies | PJMS 390S,SEM Section 40,3055,0,6,100.0,2021-06-27 17:32:32.644409
Special Topics in Policy Journalism and Media Studies | PJMS 390S,SEM Section 41,3056,2,6,66.66666666666666,2021-06-27 17:32:35.099239
Special Topics in Policy Journalism and Media Studies | PJMS 390S,SEM Section 50,3057,0,8,100.0,2021-06-27 17:32:37.608214
Special Topics in Policy Journalism and Media Studies | PJMS 390S,SEM Section 51,3058,2,7,71.42857142857143,2021-06-27 17:32:40.174408
Independent Study | PJMS 391,IND Section 01,3059,6,8,25.0,2021-06-27 17:32:42.639795
Independent Study | PJMS 391,IND Section 02,3060,4,4,0.0,2021-06-27 17:32:45.121453
Independent Study | PJMS 391,IND Section 03,3061,1,1,0.0,2021-06-27 17:32:47.532819
Independent Study | PJMS 391,IND Section 04,3062,1,1,0.0,2021-06-27 17:32:49.962945
Independent Study | PJMS 391,IND Section 05,3063,1,1,0.0,2021-06-27 17:32:52.384808
Independent Study | PJMS 391,IND Section 06,3064,1,1,0.0,2021-06-27 17:32:54.756985
Independent Study | PJMS 391,IND Section 07,3065,1,1,0.0,2021-06-27 17:32:57.137613
Independent Study | PJMS 391,IND Section 08,3066,1,1,0.0,2021-06-27 17:32:59.479771
Independent Study | PJMS 391,IND Section 09,3067,1,1,0.0,2021-06-27 17:33:01.797623
"First Year Seminar: Special Topics in Policy, Journalism and Media Studies | PJMS 89S",SEM Section 01,3068,0,8,100.0,2021-06-27 18:26:40.833095
"First Year Seminar: Special Topics in Policy, Journalism and Media Studies | PJMS 89S",SEM Section 02,3069,0,4,100.0,2021-06-27 18:26:43.331783
Art of the Interview | PJMS 364S,SEM Section 01,3043,4,12,66.66666666666666,2021-06-27 18:26:45.785622
Video Journalism | PJMS 365S,SEM Section 01,3044,0,6,100.0,2021-06-27 18:26:48.217307
Video Journalism | PJMS 365S,SEM Section 02,3045,0,6,100.0,2021-06-27 18:26:50.656261
News Writing and Reporting | PJMS 367S,SEM Section 01,3046,-1,8,112.5,2021-06-27 18:26:53.053267
News Writing and Reporting | PJMS 367S,SEM Section 02,3047,3,4,25.0,2021-06-27 18:26:55.449530
News as a Moral Battleground | PJMS 371,Lecture Section 01,3048,0,15,100.0,2021-06-27 18:26:57.864042
News as a Moral Battleground | PJMS 371,Lecture Section 02,3049,1,10,90.0,2021-06-27 18:27:00.212969
Special Topics in Policy Journalism and Media Studies | PJMS 390S,SEM Section 10,3050,-1,8,112.5,2021-06-27 18:27:02.606550
Special Topics in Policy Journalism and Media Studies | PJMS 390S,SEM Section 20,3052,2,15,86.66666666666667,2021-06-27 18:27:04.948797
Special Topics in Policy Journalism and Media Studies | PJMS 390S,SEM Section 30,3053,1,6,83.33333333333334,2021-06-27 18:27:07.309328
Special Topics in Policy Journalism and Media Studies | PJMS 390S,SEM Section 31,3054,1,6,83.33333333333334,2021-06-27 18:27:09.701819
Special Topics in Policy Journalism and Media Studies | PJMS 390S,SEM Section 40,3055,0,6,100.0,2021-06-27 18:27:12.046783
Special Topics in Policy Journalism and Media Studies | PJMS 390S,SEM Section 41,3056,2,6,66.66666666666666,2021-06-27 18:27:14.493971
Special Topics in Policy Journalism and Media Studies | PJMS 390S,SEM Section 50,3057,0,8,100.0,2021-06-27 18:27:17.048232
Special Topics in Policy Journalism and Media Studies | PJMS 390S,SEM Section 51,3058,2,7,71.42857142857143,2021-06-27 18:27:19.498281
