Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Academic Writing | WRITING 101,Lecture Section 01,5556,0,12,100.0,2021-06-27 18:37:11.566796
Academic Writing | WRITING 101,Lecture Section 02,5557,0,12,100.0,2021-06-27 18:37:13.982742
Academic Writing | WRITING 101,Lecture Section 03,5558,0,12,100.0,2021-06-27 18:37:16.341577
Academic Writing | WRITING 101,Lecture Section 04,5559,0,12,100.0,2021-06-27 18:37:18.676471
Academic Writing | WRITING 101,Lecture Section 05,5560,0,12,100.0,2021-06-27 18:37:21.005273
Academic Writing | WRITING 101,Lecture Section 06,5561,0,12,100.0,2021-06-27 18:37:23.322660
Academic Writing | WRITING 101,Lecture Section 07,5562,3,12,75.0,2021-06-27 18:37:25.669942
Academic Writing | WRITING 101,Lecture Section 08,5563,0,12,100.0,2021-06-27 18:37:27.982008
Academic Writing | WRITING 101,Lecture Section 09,5564,0,12,100.0,2021-06-27 18:37:30.309933
Academic Writing | WRITING 101,Lecture Section 10,5565,0,12,100.0,2021-06-27 18:37:32.628462
Academic Writing | WRITING 101,Lecture Section 11,5566,0,12,100.0,2021-06-27 18:37:34.945957
Academic Writing | WRITING 101,Lecture Section 12,5567,1,12,91.66666666666666,2021-06-27 18:37:37.354674
Academic Writing | WRITING 101,Lecture Section 13,5568,0,12,100.0,2021-06-27 18:37:39.762255
Academic Writing | WRITING 101,Lecture Section 14,5569,1,12,91.66666666666666,2021-06-27 18:37:42.116055
Academic Writing | WRITING 101,Lecture Section 15,5570,2,12,83.33333333333334,2021-06-27 18:37:44.504991
Academic Writing | WRITING 101,Lecture Section 16,5571,0,12,100.0,2021-06-27 18:37:46.868697
Academic Writing | WRITING 101,Lecture Section 17,5572,0,12,100.0,2021-06-27 18:37:49.248008
Academic Writing | WRITING 101,Lecture Section 18,5573,0,12,100.0,2021-06-27 18:37:51.565586
Academic Writing | WRITING 101,Lecture Section 19,5574,0,12,100.0,2021-06-27 18:37:53.881078
Academic Writing | WRITING 101,Lecture Section 20,5575,0,12,100.0,2021-06-27 18:37:56.214130
Academic Writing | WRITING 101,Lecture Section 21,5576,0,12,100.0,2021-06-27 18:37:58.560562
Academic Writing | WRITING 101,Lecture Section 22,5577,0,12,100.0,2021-06-27 18:38:00.875606
Academic Writing | WRITING 101,Lecture Section 23,5578,0,12,100.0,2021-06-27 18:38:03.179490
Academic Writing | WRITING 101,Lecture Section 24,5579,0,12,100.0,2021-06-27 18:38:05.504430
Academic Writing | WRITING 101,Lecture Section 25,5580,0,12,100.0,2021-06-27 18:38:07.837243
Academic Writing | WRITING 101,Lecture Section 26,5581,0,12,100.0,2021-06-27 18:38:10.146437
Academic Writing | WRITING 101,Lecture Section 27,5582,0,12,100.0,2021-06-27 18:38:12.468459
Academic Writing | WRITING 101,Lecture Section 28,5583,0,12,100.0,2021-06-27 18:38:14.784768
Academic Writing | WRITING 101,Lecture Section 29,5584,0,12,100.0,2021-06-27 18:38:17.095748
Academic Writing | WRITING 101,Lecture Section 30,5585,0,12,100.0,2021-06-27 18:38:19.406099
Academic Writing | WRITING 101,Lecture Section 31,5586,0,12,100.0,2021-06-27 18:38:21.831464
Academic Writing | WRITING 101,Lecture Section 32,5587,0,12,100.0,2021-06-27 18:38:24.147047
Academic Writing | WRITING 101,Lecture Section 33,5588,0,12,100.0,2021-06-27 18:38:26.454626
Academic Writing | WRITING 101,Lecture Section 34,5589,0,12,100.0,2021-06-27 18:38:28.849941
Academic Writing | WRITING 101,Lecture Section 35,5590,0,12,100.0,2021-06-27 18:38:31.175692
Academic Writing | WRITING 101,Lecture Section 36,5591,0,12,100.0,2021-06-27 18:38:33.480891
Academic Writing | WRITING 101,Lecture Section 37,5592,0,12,100.0,2021-06-27 18:38:35.796922
Academic Writing | WRITING 101,Lecture Section 38,5593,1,12,91.66666666666666,2021-06-27 18:38:38.248796
Academic Writing | WRITING 101,Lecture Section 39,5594,0,12,100.0,2021-06-27 18:38:40.617506
Academic Writing | WRITING 101,Lecture Section 40,5595,0,12,100.0,2021-06-27 18:38:43.071945
Academic Writing | WRITING 101,Lecture Section 41,5596,0,12,100.0,2021-06-27 18:38:45.375187
Academic Writing | WRITING 101,Lecture Section 42,5597,0,12,100.0,2021-06-27 18:38:47.693027
Academic Writing | WRITING 101,Lecture Section 43,5598,1,12,91.66666666666666,2021-06-27 18:38:50.119280
Academic Writing | WRITING 101,Lecture Section 44,5599,0,12,100.0,2021-06-27 18:38:52.442265
