Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Research Independent Study in Science Education | PHARM 293,IND Section 01,1381,1,1,0.0,No,2021-06-29 19:25:36.434119
Pharmacology: Drug Actions and Reactions | PHARM 350,Lecture Section 01,5583,14,14,0.0,No,2021-06-29 19:25:38.796250
Research Independent Study | PHARM 393,IND Section 01,1382,2,2,0.0,No,2021-06-29 19:25:41.161111
Research Independent Study | PHARM 393,IND Section 02,1383,2,2,0.0,No,2021-06-29 19:25:43.497868
Research Independent Study | PHARM 393,IND Section 03,1384,2,2,0.0,No,2021-06-29 19:25:45.815702
Research Independent Study | PHARM 393,IND Section 04,1385,2,2,0.0,No,2021-06-29 19:25:48.157419
Research Independent Study | PHARM 393,IND Section 05,1386,2,2,0.0,No,2021-06-29 19:25:50.524831
Research Independent Study | PHARM 393,IND Section 06,1387,2,2,0.0,No,2021-06-29 19:25:52.838731
Research Independent Study | PHARM 393,IND Section 07,1388,2,2,0.0,No,2021-06-29 19:25:55.203347
Research Independent Study | PHARM 393,IND Section 08,1389,2,2,0.0,No,2021-06-29 19:25:57.549728
Research Independent Study | PHARM 393,IND Section 09,1390,2,2,0.0,No,2021-06-29 19:25:59.923316
Research Independent Study | PHARM 393,IND Section 10,1391,2,2,0.0,No,2021-06-29 19:26:02.307900
Research Independent Study | PHARM 393,IND Section 11,1392,2,2,0.0,No,2021-06-29 19:26:04.837729
Research Independent Study | PHARM 393,IND Section 12,1393,2,2,0.0,No,2021-06-29 19:26:07.303413
Research Independent Study | PHARM 393,IND Section 13,1394,2,2,0.0,No,2021-06-29 19:26:09.684534
Research Independent Study | PHARM 393,IND Section 14,1395,2,2,0.0,No,2021-06-29 19:26:12.134997
Research Independent Study | PHARM 393,IND Section 15,1396,2,2,0.0,No,2021-06-29 19:26:14.549090
Research Independent Study | PHARM 393,IND Section 16,1397,2,2,0.0,No,2021-06-29 19:26:17.122276
Research Independent Study | PHARM 393,IND Section 17,1398,2,2,0.0,No,2021-06-29 19:26:19.584448
Research Independent Study | PHARM 393,IND Section 18,1399,2,2,0.0,No,2021-06-29 19:26:21.970830
Research Independent Study | PHARM 393,IND Section 19,1400,2,2,0.0,No,2021-06-29 19:26:24.348302
Research Independent Study | PHARM 393,IND Section 20,1401,2,2,0.0,No,2021-06-29 19:26:26.682580
Research Independent Study | PHARM 393,IND Section 21,1402,2,2,0.0,No,2021-06-29 19:26:28.999175
Research Independent Study | PHARM 393,IND Section 22,1403,1,1,0.0,No,2021-06-29 19:26:31.340359
Research Independent Study | PHARM 393,IND Section 23,1404,2,2,0.0,No,2021-06-29 19:26:33.737015
Research Independent Study | PHARM 393,IND Section 24,1405,2,2,0.0,No,2021-06-29 19:26:36.089463
Research Independent Study | PHARM 393,IND Section 25,1406,2,2,0.0,No,2021-06-29 19:26:38.413603
Research Independent Study | PHARM 393,IND Section 40,1407,2,2,0.0,No,2021-06-29 19:26:40.765916
Research Independent Study | PHARM 393,IND Section 41,1408,2,2,0.0,No,2021-06-29 19:26:43.097689
Research Independent Study | PHARM 394,IND Section 01,1409,2,2,0.0,No,2021-06-29 19:26:45.690230
Research Independent Study | PHARM 394,IND Section 02,1410,2,2,0.0,No,2021-06-29 19:26:48.308641
Research Independent Study | PHARM 493,IND Section 01,1339,2,2,0.0,No,2021-06-29 19:26:50.627121
Research Independent Study | PHARM 493,IND Section 02,1340,2,2,0.0,No,2021-06-29 19:26:52.992319
Research Independent Study | PHARM 493,IND Section 03,1341,2,2,0.0,No,2021-06-29 19:26:55.399757
Research Independent Study | PHARM 493,IND Section 04,1342,2,2,0.0,No,2021-06-29 19:26:57.704787
Research Independent Study | PHARM 493,IND Section 05,1343,2,2,0.0,No,2021-06-29 19:27:00.029476
Research Independent Study | PHARM 493,IND Section 06,1344,2,2,0.0,No,2021-06-29 19:27:02.380732
Research Independent Study | PHARM 493,IND Section 07,1345,2,2,0.0,No,2021-06-29 19:27:04.737064
Research Independent Study | PHARM 493,IND Section 08,1346,3,3,0.0,No,2021-06-29 19:27:07.206044
Research Independent Study | PHARM 493,IND Section 09,1347,2,2,0.0,No,2021-06-29 19:27:09.764943
Research Independent Study | PHARM 493,IND Section 10,1348,1,1,0.0,No,2021-06-29 19:27:12.181579
Research Independent Study | PHARM 493,IND Section 11,1349,2,2,0.0,No,2021-06-29 19:27:14.595520
Research Independent Study | PHARM 493,IND Section 12,1350,2,2,0.0,No,2021-06-29 19:27:16.997118
Research Independent Study | PHARM 493,IND Section 13,1351,2,2,0.0,No,2021-06-29 19:27:19.435595
Research Independent Study | PHARM 493,IND Section 14,1352,2,2,0.0,No,2021-06-29 19:27:21.807943
Research Independent Study | PHARM 493,IND Section 15,1353,2,2,0.0,No,2021-06-29 19:27:24.208759
Research Independent Study | PHARM 493,IND Section 16,1354,2,2,0.0,No,2021-06-29 19:27:26.575049
Research Independent Study | PHARM 493,IND Section 17,1355,2,2,0.0,No,2021-06-29 19:27:28.961112
Research Independent Study | PHARM 493,IND Section 18,1356,2,2,0.0,No,2021-06-29 19:27:31.332603
Research Independent Study | PHARM 493,IND Section 19,1357,2,2,0.0,No,2021-06-29 19:27:33.779010
Research Independent Study | PHARM 493,IND Section 20,1358,2,2,0.0,No,2021-06-29 19:27:36.117294
Research Independent Study | PHARM 493,IND Section 21,1359,2,2,0.0,No,2021-06-29 19:27:38.524631
Research Independent Study | PHARM 493,IND Section 22,1360,2,2,0.0,No,2021-06-29 19:27:40.897398
Research Independent Study | PHARM 493,IND Section 23,1361,2,2,0.0,No,2021-06-29 19:27:43.242445
Research Independent Study | PHARM 493,IND Section 24,1362,2,2,0.0,No,2021-06-29 19:27:45.645357
Research Independent Study | PHARM 493,IND Section 25,1363,3,3,0.0,No,2021-06-29 19:27:48.006007
Research Independent Study | PHARM 493,IND Section 26,1364,2,2,0.0,No,2021-06-29 19:27:50.385942
