Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Elementary Modern Hebrew | HEBREW 101,Lecture Section 001,6527,15,15,0.0,No,2021-06-28 13:04:31.775211
Elementary Modern Hebrew | HEBREW 101,Discussion Section 01D,6528,15,15,0.0,No,2021-06-28 13:04:34.187455
Intermediate Modern Hebrew | HEBREW 203,Lecture Section 01,6531,15,15,0.0,No,2021-06-28 13:04:36.625880
Advanced Modern Hebrew | HEBREW 306S,SEM Section 01,6533,10,10,0.0,No,2021-06-28 13:04:39.027219
Independent Study | HEBREW 391,IND Section 01,2096,4,4,0.0,No,2021-06-28 13:04:41.387853
Independent Study | HEBREW 391,IND Section 02,2097,4,4,0.0,No,2021-06-28 13:04:43.758220
Elementary Modern Hebrew | HEBREW 101,Lecture Section 001,6527,15,15,0.0,No,2021-06-29 19:24:25.327789
Elementary Modern Hebrew | HEBREW 101,Discussion Section 01D,6528,15,15,0.0,No,2021-06-29 19:24:27.727360
Intermediate Modern Hebrew | HEBREW 203,Lecture Section 01,6531,15,15,0.0,No,2021-06-29 19:24:30.236752
Advanced Modern Hebrew | HEBREW 306S,SEM Section 01,6533,10,10,0.0,No,2021-06-29 19:24:32.621201
Independent Study | HEBREW 391,IND Section 01,2096,4,4,0.0,No,2021-06-29 19:24:34.967258
Independent Study | HEBREW 391,IND Section 02,2097,4,4,0.0,No,2021-06-29 19:24:37.325899
