Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
"Chemistry, Technology, and Society | CHEM 91",Lecture Section 01,5011,75,75,0.0,No,2021-06-30 21:37:54.252361
Introduction to Chemistry and Chemical Problem Solving | CHEM 99D,Lecture Section 001,5068,75,75,0.0,No,2021-06-30 21:37:56.842865
Introduction to Chemistry and Chemical Problem Solving | CHEM 99D,Discussion Section 10D,5069,75,75,0.0,No,2021-06-30 21:37:59.351741
Core Concepts in Chemistry | CHEM 101DL,Lecture Section 001,5070,250,250,0.0,No,2021-06-30 21:38:01.757128
Core Concepts in Chemistry | CHEM 101DL,Lecture Section 002,5071,250,250,0.0,No,2021-06-30 21:38:04.175727
Core Concepts in Chemistry | CHEM 101DL,Discussion Section 10D,5072,25,25,0.0,No,2021-06-30 21:38:06.607235
Core Concepts in Chemistry | CHEM 101DL,Discussion Section 11D,5073,25,25,0.0,No,2021-06-30 21:38:08.995466
Core Concepts in Chemistry | CHEM 101DL,Discussion Section 12D,5074,25,25,0.0,No,2021-06-30 21:38:11.439376
Core Concepts in Chemistry | CHEM 101DL,Discussion Section 13D,5075,25,25,0.0,No,2021-06-30 21:38:13.826741
Core Concepts in Chemistry | CHEM 101DL,Discussion Section 14D,5076,25,25,0.0,No,2021-06-30 21:38:16.504956
Core Concepts in Chemistry | CHEM 101DL,Discussion Section 15D,5077,25,25,0.0,No,2021-06-30 21:38:19.200050
Core Concepts in Chemistry | CHEM 101DL,Discussion Section 16D,5078,25,25,0.0,No,2021-06-30 21:38:21.619262
Core Concepts in Chemistry | CHEM 101DL,Discussion Section 17D,5079,25,25,0.0,No,2021-06-30 21:38:24.228540
Core Concepts in Chemistry | CHEM 101DL,Discussion Section 18D,5080,25,25,0.0,No,2021-06-30 21:38:26.675392
Core Concepts in Chemistry | CHEM 101DL,Discussion Section 19D,5081,25,25,0.0,No,2021-06-30 21:38:29.257885
Core Concepts in Chemistry | CHEM 101DL,Discussion Section 20D,5082,20,20,0.0,No,2021-06-30 21:38:31.883865
Core Concepts in Chemistry | CHEM 101DL,Discussion Section 21D,5083,20,20,0.0,No,2021-06-30 21:38:34.322482
Core Concepts in Chemistry | CHEM 101DL,Discussion Section 22D,5084,25,25,0.0,No,2021-06-30 21:38:36.727481
Core Concepts in Chemistry | CHEM 101DL,Discussion Section 23D,5085,25,25,0.0,No,2021-06-30 21:38:39.153313
Core Concepts in Chemistry | CHEM 101DL,Discussion Section 24D,5086,25,25,0.0,No,2021-06-30 21:38:41.561271
Core Concepts in Chemistry | CHEM 101DL,Discussion Section 25D,5087,25,25,0.0,No,2021-06-30 21:38:43.944768
Core Concepts in Chemistry | CHEM 101DL,Discussion Section 26D,5088,25,25,0.0,No,2021-06-30 21:38:46.292422
Core Concepts in Chemistry | CHEM 101DL,Discussion Section 27D,5089,25,25,0.0,No,2021-06-30 21:38:48.674961
Core Concepts in Chemistry | CHEM 101DL,Discussion Section 28D,5090,25,25,0.0,No,2021-06-30 21:38:51.068230
Core Concepts in Chemistry | CHEM 101DL,Discussion Section 29D,5091,25,25,0.0,No,2021-06-30 21:38:53.420657
Core Concepts in Chemistry (Lab) | CHEM 101L9,Laboratory Section 111,5102,14,14,0.0,No,2021-06-30 21:38:55.767405
Core Concepts in Chemistry (Lab) | CHEM 101L9,Laboratory Section 112,10236,14,14,0.0,No,2021-06-30 21:38:58.292644
Core Concepts in Chemistry (Lab) | CHEM 101L9,Laboratory Section 121,5103,14,14,0.0,No,2021-06-30 21:39:00.705024
Core Concepts in Chemistry (Lab) | CHEM 101L9,Laboratory Section 122,10237,14,14,0.0,No,2021-06-30 21:39:03.248892
Core Concepts in Chemistry (Lab) | CHEM 101L9,Laboratory Section 131,5104,14,14,0.0,No,2021-06-30 21:39:05.720976
Core Concepts in Chemistry (Lab) | CHEM 101L9,Laboratory Section 132,10238,14,14,0.0,No,2021-06-30 21:39:08.333820
Core Concepts in Chemistry (Lab) | CHEM 101L9,Laboratory Section 211,5105,14,14,0.0,No,2021-06-30 21:39:10.800796
Core Concepts in Chemistry (Lab) | CHEM 101L9,Laboratory Section 212,10239,14,14,0.0,No,2021-06-30 21:39:13.251293
