Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Elementary French 1 | FRENCH 101,Lecture Section 01,5607,15,15,0.0,No,2021-06-30 21:47:04.136543
Elementary French 1 | FRENCH 101,Lecture Section 02,5608,15,15,0.0,No,2021-06-30 21:47:06.513859
Elementary French 1 | FRENCH 101,Lecture Section 03,5609,15,15,0.0,No,2021-06-30 21:47:08.883798
Elementary French 2 | FRENCH 102,Lecture Section 01,5610,15,15,0.0,No,2021-06-30 21:47:11.559650
Elementary French 2 | FRENCH 102,Lecture Section 02,5611,15,15,0.0,No,2021-06-30 21:47:14.082539
Elementary French 2 | FRENCH 102,Lecture Section 03,5612,15,15,0.0,No,2021-06-30 21:47:16.506514
Intermediate French Language and Culture | FRENCH 203,Lecture Section 01,5613,15,15,0.0,No,2021-06-30 21:47:18.928686
Intermediate French Language and Culture | FRENCH 203,Lecture Section 02,5614,15,15,0.0,No,2021-06-30 21:47:21.310309
Intermediate French Language and Culture | FRENCH 203,Lecture Section 03,5615,15,15,0.0,No,2021-06-30 21:47:23.644428
Intermediate French Language and Culture | FRENCH 203,Lecture Section 04,5616,15,15,0.0,No,2021-06-30 21:47:26.019564
Intermediate French Language and Culture | FRENCH 203,Lecture Section 05,5617,15,15,0.0,No,2021-06-30 21:47:28.394331
Advanced Intermediate French Language and Culture | FRENCH 204,Lecture Section 01,5618,15,15,0.0,No,2021-06-30 21:47:30.855584
Advanced Intermediate French Language and Culture | FRENCH 204,Lecture Section 02,5619,15,15,0.0,No,2021-06-30 21:47:33.212918
Advanced Intermediate French Language and Culture | FRENCH 204,Lecture Section 03,5620,15,15,0.0,No,2021-06-30 21:47:35.586689
Advanced Intermediate French Language and Culture | FRENCH 204,Lecture Section 04,5621,15,15,0.0,No,2021-06-30 21:47:37.945387
Voices in Marketing: Advertising in French | FRENCH 275T-2,TUT Section 01,4419,8,8,0.0,No,2021-06-30 21:47:40.565446
Advanced French Writing Workshop | FRENCH 301S,SEM Section 01,5624,12,12,0.0,No,2021-06-30 21:47:43.332897
Advanced French Writing Workshop | FRENCH 301S,SEM Section 02,5625,12,12,0.0,No,2021-06-30 21:47:46.030117
Cultural and Literary Perspectives | FRENCH 302S,SEM Section 01,5622,14,14,0.0,No,2021-06-30 21:47:48.598354
Cultural and Literary Perspectives | FRENCH 302S,SEM Section 02,5623,14,14,0.0,No,2021-06-30 21:47:51.091056
French for Current Affairs | FRENCH 303S,SEM Section 01,5626,14,14,0.0,No,2021-06-30 21:47:53.581936
French for Current Affairs | FRENCH 303S,SEM Section 02,5627,14,14,0.0,No,2021-06-30 21:47:56.164572
French Composition and Translation | FRENCH 304S,SEM Section 01,5628,12,12,0.0,No,2021-06-30 21:47:58.623624
Global Humanities in French | FRENCH 316S,SEM Section 01,5749,18,18,0.0,No,2021-06-30 21:48:01.055200
Global Displacement: Voix Francophones | FRENCH 325S,SEM Section 01,5728,15,15,0.0,No,2021-06-30 21:48:03.497466
Francophone Literature | FRENCH 331S,SEM Section 01,5631,18,18,0.0,No,2021-06-30 21:48:06.049954
The Pleasure of Reading | FRENCH 339S,SEM Section 01,5709,18,18,0.0,No,2021-06-30 21:48:08.477866
Research Independent Study | FRENCH 393,IND Section 01,2115,1,1,0.0,No,2021-06-30 21:48:10.943317
Research Independent Study | FRENCH 393,IND Section 02,2116,1,1,0.0,No,2021-06-30 21:48:13.341788
Banlieues and Peripheries in French Contemporary Literature and Cinema | FRENCH 427S,SEM Section 01,5758,12,12,0.0,No,2021-06-30 21:48:15.812879
Special Topics in French Literature | FRENCH 490S,SEM Section 01,5630,18,18,0.0,No,2021-06-30 21:48:18.175258
Research Independent Study | FRENCH 493,IND Section 01,2117,1,1,0.0,No,2021-06-30 21:48:20.513429
Research Independent Study | FRENCH 493,IND Section 02,2118,1,1,0.0,No,2021-06-30 21:48:22.890103
Research Independent Study | FRENCH 493,IND Section 03,2119,1,1,0.0,No,2021-06-30 21:48:25.226741
Research Independent Study | FRENCH 493,IND Section 04,2120,1,1,0.0,No,2021-06-30 21:48:27.681342
Research Independent Study | FRENCH 493,IND Section 05,2121,1,1,0.0,No,2021-06-30 21:48:30.007289
Research Independent Study | FRENCH 493,IND Section 06,2122,1,1,0.0,No,2021-06-30 21:48:32.399789
Research Independent Study | FRENCH 493,IND Section 07,2123,1,1,0.0,No,2021-06-30 21:48:34.729437
Research Independent Study | FRENCH 493,IND Section 08,2124,1,1,0.0,No,2021-06-30 21:48:37.118683
