Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Chinese I | CHINESE 101,Lecture Section 001,6506,16,16,0.0,No,2021-06-30 21:48:50.498354
First-Year Chinese I | CHINESE 101,Lecture Section 002,6507,16,16,0.0,No,2021-06-30 21:48:52.918676
First-Year Chinese I | CHINESE 101,Discussion Section 01D,6508,16,16,0.0,No,2021-06-30 21:48:55.278738
First-Year Chinese I | CHINESE 101,Discussion Section 02D,6509,16,16,0.0,No,2021-06-30 21:48:57.630854
First-Year Chinese I | CHINESE 101,Lecture Section 03,10230,12,12,0.0,No,2021-06-30 21:49:00.022871
First-Year Chinese I | CHINESE 101,Lecture Section 04,10231,12,12,0.0,No,2021-06-30 21:49:02.410581
First-Year Chinese I | CHINESE 101,Lecture Section 05,10232,12,12,0.0,No,2021-06-30 21:49:04.792056
First-Year Chinese I | CHINESE 101,Lecture Section 06,10233,12,12,0.0,No,2021-06-30 21:49:07.158417
First-Year Chinese II | CHINESE 102,Lecture Section 001,6510,12,12,0.0,No,2021-06-30 21:49:09.478619
First-Year Chinese II | CHINESE 102,Discussion Section 01D,6511,12,12,0.0,No,2021-06-30 21:49:11.804941
First-Year Chinese in Review I | CHINESE 105D,Lecture Section 001,6604,10,10,0.0,No,2021-06-30 21:49:14.142730
First-Year Chinese in Review I | CHINESE 105D,Discussion Section 01D,6605,10,10,0.0,No,2021-06-30 21:49:16.538692
First Year Chinese for Bilingual Learners | CHINESE 131,Lecture Section 001,6512,18,18,0.0,No,2021-06-30 21:49:18.929559
First Year Chinese for Bilingual Learners | CHINESE 131,Lecture Section 002,6513,18,18,0.0,No,2021-06-30 21:49:21.283254
First Year Chinese for Bilingual Learners | CHINESE 131,Discussion Section 01D,6514,18,18,0.0,No,2021-06-30 21:49:23.616341
First Year Chinese for Bilingual Learners | CHINESE 131,Discussion Section 02D,6515,18,18,0.0,No,2021-06-30 21:49:25.934048
Intermediate Chinese | CHINESE 203,Lecture Section 001,6516,18,18,0.0,No,2021-06-30 21:49:28.309202
Intermediate Chinese | CHINESE 203,Lecture Section 002,6517,18,18,0.0,No,2021-06-30 21:49:30.733112
Intermediate Chinese | CHINESE 203,Lecture Section 003,10106,14,14,0.0,No,2021-06-30 21:49:33.203380
Intermediate Chinese | CHINESE 203,Discussion Section 01D,6518,18,18,0.0,No,2021-06-30 21:49:35.573273
Intermediate Chinese | CHINESE 203,Discussion Section 02D,6519,18,18,0.0,No,2021-06-30 21:49:37.926763
Intermediate Chinese | CHINESE 203,Discussion Section 03D,10107,14,14,0.0,No,2021-06-30 21:49:40.330004
Intermediate Chinese | CHINESE 203,Lecture Section 04,10287,12,12,0.0,No,2021-06-30 21:49:42.759766
Intermediate Chinese | CHINESE 203,Lecture Section 05,10288,12,12,0.0,No,2021-06-30 21:49:45.190170
Voices in Marketing: Advertising in Chinese | CHINESE 277T-3,TUT Section 01,4424,8,8,0.0,No,2021-06-30 21:49:47.562339
Pre-Advanced Chinese | CHINESE 305D,Lecture Section 001,6520,14,14,0.0,No,2021-06-30 21:49:49.897971
Pre-Advanced Chinese | CHINESE 305D,Lecture Section 002,6521,14,14,0.0,No,2021-06-30 21:49:52.310377
Pre-Advanced Chinese | CHINESE 305D,Discussion Section 01D,6522,14,14,0.0,No,2021-06-30 21:49:54.676341
Pre-Advanced Chinese | CHINESE 305D,Discussion Section 02D,6523,14,14,0.0,No,2021-06-30 21:49:57.025352
Modern Chinese Society and Culture through New Media | CHINESE 331D,Lecture Section 001,6608,16,16,0.0,No,2021-06-30 21:49:59.381312
Modern Chinese Society and Culture through New Media | CHINESE 331D,Discussion Section 01D,6609,16,16,0.0,No,2021-06-30 21:50:01.733448
Chinese Translation and Interpretation | CHINESE 332D,Lecture Section 001,6618,16,16,0.0,No,2021-06-30 21:50:04.121246
Chinese Translation and Interpretation | CHINESE 332D,Discussion Section 01D,6619,16,16,0.0,No,2021-06-30 21:50:06.505549
Advanced Chinese for Bilingual Learners | CHINESE 333,Lecture Section 001,6524,16,16,0.0,No,2021-06-30 21:50:08.960197
Advanced Chinese for Bilingual Learners | CHINESE 333,Discussion Section 01D,6525,16,16,0.0,No,2021-06-30 21:50:11.374777
Independent Study | CHINESE 391,IND Section 01,2092,4,4,0.0,No,2021-06-30 21:50:13.826495
Independent Study | CHINESE 391,IND Section 02,2093,4,4,0.0,No,2021-06-30 21:50:16.262277
Issues in Chinese Language and Society I | CHINESE 407S,SEM Section 01,6572,12,12,0.0,No,2021-06-30 21:50:18.862990
Chinese in the Humanities I | CHINESE 435S,SEM Section 01,6526,12,12,0.0,No,2021-06-30 21:50:21.334712
Modern Chinese Culture: Narratives of Home and Abroad | CHINESE 455,Lecture Section 01,6578,18,18,0.0,No,2021-06-30 21:50:23.787763
