Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
First-Year Seminar | MATH 89S,SEM Section 01,5381,4,15,73.33333333333333,2021-06-27 17:29:53.030922
Laboratory Calculus and Functions I | MATH 105L,Lecture Section 001,5188,11,25,56.00000000000001,2021-06-27 17:29:55.483987
Laboratory Calculus and Functions I | MATH 105L,Laboratory Section 01L,5189,11,25,56.00000000000001,2021-06-27 17:29:57.831204
Laboratory Calculus and Functions II | MATH 106L,Lecture Section 001,5190,5,35,85.71428571428571,2021-06-27 17:30:00.186144
Laboratory Calculus and Functions II | MATH 106L,Lecture Section 002,5191,3,35,91.42857142857143,2021-06-27 17:30:02.538029
Laboratory Calculus and Functions II | MATH 106L,Laboratory Section 01L,5192,6,35,82.85714285714286,2021-06-27 17:30:04.881660
Laboratory Calculus and Functions II | MATH 106L,Laboratory Section 02L,5193,12,35,65.71428571428571,2021-06-27 17:30:07.264838
Laboratory Calculus and Functions II | MATH 106L,Laboratory Section 03L,10207,20,30,33.33333333333333,2021-06-27 17:30:09.668303
Laboratory Calculus I | MATH 111L,Lecture Section 001,5194,26,120,78.33333333333333,2021-06-27 17:30:12.019156
Laboratory Calculus I | MATH 111L,Laboratory Section 01L,5195,5,25,80.0,2021-06-27 17:30:14.364179
Laboratory Calculus I | MATH 111L,Laboratory Section 02L,5196,1,25,96.0,2021-06-27 17:30:16.767553
Laboratory Calculus I | MATH 111L,Laboratory Section 03L,5197,0,25,100.0,2021-06-27 17:30:19.176195
Laboratory Calculus I | MATH 111L,Laboratory Section 04L,5198,0,25,100.0,2021-06-27 17:30:21.561646
Laboratory Calculus II | MATH 112L,Lecture Section 001,5199,58,300,80.66666666666666,2021-06-27 17:30:23.906709
Laboratory Calculus II | MATH 112L,Laboratory Section 01L,5200,1,30,96.66666666666667,2021-06-27 17:30:26.268417
Laboratory Calculus II | MATH 112L,Laboratory Section 02L,5201,0,30,100.0,2021-06-27 17:30:28.639872
Laboratory Calculus II | MATH 112L,Laboratory Section 03L,5202,1,30,96.66666666666667,2021-06-27 17:30:31.006028
Laboratory Calculus II | MATH 112L,Laboratory Section 04L,5203,1,30,96.66666666666667,2021-06-27 17:30:33.449680
Laboratory Calculus II | MATH 112L,Laboratory Section 05L,5204,3,30,90.0,2021-06-27 17:30:35.872282
Laboratory Calculus II | MATH 112L,Laboratory Section 06L,5205,15,30,50.0,2021-06-27 17:30:38.218248
Laboratory Calculus II | MATH 112L,Laboratory Section 07L,5206,3,30,90.0,2021-06-27 17:30:40.546800
Laboratory Calculus II | MATH 112L,Laboratory Section 08L,5207,1,30,96.66666666666667,2021-06-27 17:30:42.881425
Laboratory Calculus II | MATH 112L,Laboratory Section 09L,5208,3,30,90.0,2021-06-27 17:30:45.228744
Math Everywhere: Mathematical Concepts and Reasoning in our Modern World | MATH 181,Lecture Section 01,5209,0,40,100.0,2021-06-27 17:30:47.575476
Math Everywhere: Mathematical Concepts and Reasoning in our Modern World | MATH 181,Lecture Section 02,5210,0,40,100.0,2021-06-27 17:30:49.916354
Independent Study | MATH 191,IND Section 01,5211,1,1,0.0,2021-06-27 17:30:52.264789
Independent Study | MATH 191,IND Section 02,5212,1,1,0.0,2021-06-27 17:30:54.736420
Multivariable Calculus for Economics | MATH 202D,Lecture Section 001,5213,0,120,100.0,2021-06-27 17:30:57.124364
Multivariable Calculus for Economics | MATH 202D,Discussion Section 01D,5214,0,30,100.0,2021-06-27 17:30:59.580405
Multivariable Calculus for Economics | MATH 202D,Discussion Section 02D,5215,0,30,100.0,2021-06-27 17:31:01.956003
Multivariable Calculus for Economics | MATH 202D,Discussion Section 03D,5216,0,30,100.0,2021-06-27 17:31:04.422847
Multivariable Calculus for Economics | MATH 202D,Discussion Section 04D,5217,0,30,100.0,2021-06-27 17:31:06.869702
Multivariable Calculus | MATH 212D,Lecture Section 001,5218,132,200,34.0,2021-06-27 17:31:09.262014
Multivariable Calculus | MATH 212D,Discussion Section 01D,5219,6,18,66.66666666666666,2021-06-27 17:31:11.625399
Multivariable Calculus | MATH 212D,Discussion Section 02D,5220,2,18,88.88888888888889,2021-06-27 17:31:13.988151
Multivariable Calculus | MATH 212D,Discussion Section 05D,5223,2,18,88.88888888888889,2021-06-27 17:31:16.366955
Multivariable Calculus | MATH 212D,Discussion Section 07D,5225,10,18,44.44444444444444,2021-06-27 17:31:18.735679
Multivariable Calculus | MATH 212D,Discussion Section 08D,5226,2,18,88.88888888888889,2021-06-27 17:31:21.091338
Linear Algebra and Differential Equations | MATH 216,Lecture Section 001,5227,28,200,86.0,2021-06-27 17:31:23.486935
Linear Algebra and Differential Equations (Discussion) | MATH 216D,Discussion Section 01D,5228,0,20,100.0,2021-06-27 17:31:25.836016
Linear Algebra and Differential Equations (Discussion) | MATH 216D,Discussion Section 02D,5229,0,20,100.0,2021-06-27 17:31:28.338092
Linear Algebra and Differential Equations (Discussion) | MATH 216D,Discussion Section 03D,5230,0,20,100.0,2021-06-27 17:31:30.672192
Linear Algebra and Differential Equations (Discussion) | MATH 216D,Discussion Section 04D,5231,3,20,85.0,2021-06-27 17:31:33.080398
Linear Algebra and Differential Equations (Discussion) | MATH 216D,Discussion Section 05D,5232,17,20,15.0,2021-06-27 17:31:35.408078
Linear Algebra and Differential Equations (Discussion) | MATH 216D,Discussion Section 06D,5233,0,20,100.0,2021-06-27 17:31:37.741170
Linear Algebra and Differential Equations (Discussion) | MATH 216D,Discussion Section 07D,5234,0,20,100.0,2021-06-27 17:31:40.084340
Linear Algebra and Differential Equations (Discussion) | MATH 216D,Discussion Section 08D,5235,0,20,100.0,2021-06-27 17:31:42.474758
Linear Algebra and Differential Equations (Discussion) | MATH 216D,Discussion Section 09D,5236,0,20,100.0,2021-06-27 17:31:44.829830
Matrices and Vectors | MATH 218-2,Lecture Section 01,10208,3,30,90.0,2021-06-27 17:31:47.328663
Matrices and Vectors | MATH 218-2,Lecture Section 03,10210,2,36,94.44444444444444,2021-06-27 17:31:49.697424
Matrices and Vector Spaces | MATH 218D,Lecture Section 001,5237,10,120,91.66666666666666,2021-06-27 17:31:52.027097
Matrices and Vector Spaces | MATH 218D,Discussion Section 01D,5238,0,25,100.0,2021-06-27 17:31:54.493939
Matrices and Vector Spaces | MATH 218D,Discussion Section 02D,5239,0,25,100.0,2021-06-27 17:31:56.816003
Matrices and Vector Spaces | MATH 218D,Discussion Section 03D,5240,0,25,100.0,2021-06-27 17:31:59.169143
Matrices and Vector Spaces | MATH 218D,Discussion Section 04D,5241,0,30,100.0,2021-06-27 17:32:01.529532
Linear Algebra and Applications | MATH 221,Lecture Section 01,5242,1,30,96.66666666666667,2021-06-27 17:32:03.881353
Linear Algebra and Applications | MATH 221,Lecture Section 02,5243,11,30,63.33333333333333,2021-06-27 17:32:06.262666
Advanced Multivariable Calculus | MATH 222,Lecture Section 01,5244,0,29,100.0,2021-06-27 17:32:08.651960
Advanced Multivariable Calculus | MATH 222,Lecture Section 02,5245,6,25,76.0,2021-06-27 17:32:11.066759
"Probability for Statistical Inference, Modeling, and Data Analysis | MATH 228L",Lecture Section 001,4970,10,30,66.66666666666666,2021-06-27 17:32:13.471616
"Probability for Statistical Inference, Modeling, and Data Analysis | MATH 228L",Laboratory Section 01L,4971,9,25,64.0,2021-06-27 17:32:15.846678
"Probability for Statistical Inference, Modeling, and Data Analysis | MATH 228L",Laboratory Section 02L,4972,1,5,80.0,2021-06-27 17:32:18.229140
Probability | MATH 230,Lecture Section 01,5246,7,140,95.0,2021-06-27 17:32:20.582489
Probability | MATH 230,Lecture Section 03,5389,11,35,68.57142857142857,2021-06-27 17:32:22.928252
Fundamentals of Data Analysis and Decision Science | MATH 238L,Lecture Section 001,5248,1,25,96.0,2021-06-27 17:32:25.383356
Fundamentals of Data Analysis and Decision Science | MATH 238L,Laboratory Section 01L,5249,1,25,96.0,2021-06-27 17:32:27.859456
"Introduction to Applied Mathematics: Modeling, Equations and Proofs | MATH 240",Lecture Section 01,5250,7,30,76.66666666666667,2021-06-27 17:32:30.453344
Python Programming in Mathematics | MATH 260,Lecture Section 01,5251,8,15,46.666666666666664,2021-06-27 17:32:32.880820
Python Programming in Mathematics | MATH 260,Lecture Section 02,5252,8,15,46.666666666666664,2021-06-27 17:32:35.315026
Mathematical and interdisciplinary modeling seminar | MATH 282S,SEM Section 01,9799,4,18,77.77777777777779,2021-06-27 17:32:37.877466
Special Topics in Mathematics | MATH 290,Lecture Section 01,5253,17,30,43.333333333333336,2021-06-27 17:32:40.349278
Advanced Introduction to Probability | MATH 340,Lecture Section 01,5254,4,30,86.66666666666667,2021-06-27 17:32:42.834295
Theory and Methods of Statistical Learning and Inference | MATH 343,Lecture Section 01,4973,1,50,98.0,2021-06-27 17:32:45.291217
Ordinary and Partial Differential Equations | MATH 353,Lecture Section 01,5255,2,25,92.0,2021-06-27 17:32:47.730192
Ordinary and Partial Differential Equations | MATH 353,Lecture Section 02,5256,9,25,64.0,2021-06-27 17:32:50.268414
Ordinary and Partial Differential Equations | MATH 353,Lecture Section 03,5257,7,25,72.0,2021-06-27 17:32:52.647611
Ordinary and Partial Differential Equations | MATH 353,Lecture Section 04,5258,10,25,60.0,2021-06-27 17:32:55.042889
Elementary Differential Equations | MATH 356,Lecture Section 01,5259,4,28,85.71428571428571,2021-06-27 17:32:57.634673
Mathematical Numerical Analysis | MATH 361S,SEM Section 01,5260,6,15,60.0,2021-06-27 17:33:00.011400
Independent Study | MATH 391,IND Section 01,5261,1,1,0.0,2021-06-27 17:33:02.416447
