Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Elementary Japanese | JPN 102,Lecture Section 001,6614,1,15,93.33333333333333,2021-06-27 17:27:44.711702
Elementary Japanese | JPN 102,Lecture Section 002,6615,2,19,89.47368421052632,2021-06-27 17:27:47.202134
Elementary Japanese | JPN 102,Discussion Section 01D,6616,1,15,93.33333333333333,2021-06-27 17:27:49.597682
Elementary Japanese | JPN 102,Discussion Section 02D,6617,2,19,89.47368421052632,2021-06-27 17:27:51.976762
Intermediate Japanese | JPN 204,Lecture Section 01,6618,1,10,90.0,2021-06-27 17:27:54.354486
Intermediate Japanese | JPN 204,Lecture Section 02,6619,2,10,80.0,2021-06-27 17:27:56.737179
Advanced Japanese | JPN 306,Lecture Section 01,6620,7,10,30.0,2021-06-27 17:27:59.153655
Independent Study | JPN 391,IND Section 01,10273,4,4,0.0,2021-06-27 17:28:01.534463
Independent Study | JPN 391,IND Section 02,10274,4,4,0.0,2021-06-27 17:28:03.897085
Issues in Japanese Language and Society I | JPN 407S,SEM Section 01,6621,5,8,37.5,2021-06-27 17:28:06.271889
Elementary Japanese | JPN 102,Lecture Section 001,6614,1,15,93.33333333333333,2021-06-27 18:24:24.835797
Elementary Japanese | JPN 102,Lecture Section 002,6615,2,19,89.47368421052632,2021-06-27 18:24:27.229528
Elementary Japanese | JPN 102,Discussion Section 01D,6616,1,15,93.33333333333333,2021-06-27 18:24:29.605915
Elementary Japanese | JPN 102,Discussion Section 02D,6617,2,19,89.47368421052632,2021-06-27 18:24:32.008237
Intermediate Japanese | JPN 204,Lecture Section 01,6618,1,10,90.0,2021-06-27 18:24:34.385776
Intermediate Japanese | JPN 204,Lecture Section 02,6619,2,10,80.0,2021-06-27 18:24:36.750197
Advanced Japanese | JPN 306,Lecture Section 01,6620,7,10,30.0,2021-06-27 18:24:39.125043
Independent Study | JPN 391,IND Section 01,10273,4,4,0.0,2021-06-27 18:24:41.614636
Independent Study | JPN 391,IND Section 02,10274,4,4,0.0,2021-06-27 18:24:44.062114
Issues in Japanese Language and Society I | JPN 407S,SEM Section 01,6621,5,8,37.5,2021-06-27 18:24:46.441200
