Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
First-Year Seminar | HISTORY 89S,SEM Section 01,7078,14,18,22.22222222222222,2021-06-27 17:25:14.251149
First-Year Seminar | HISTORY 89S,SEM Section 02,9367,0,18,100.0,2021-06-27 17:25:17.482105
Comparative Approaches to Global Issues | HISTORY 103,Lecture Section 01,5404,7,44,84.0909090909091,2021-06-27 17:25:20.231420
Comparative Approaches to Global Issues | HISTORY 103,Lecture Section 02,5409,3,5,40.0,2021-06-27 17:25:22.746346
Sexual Pleasure in the Modern World | HISTORY 112,Lecture Section 01,6967,0,60,100.0,2021-06-27 17:25:25.146365
Introduction to Human Rights: Gateway for the Human Rights Certificate | HISTORY 116,Lecture Section 01,11157,3,25,88.0,2021-06-27 17:25:27.612897
Introduction to Human Rights: Gateway for the Human Rights Certificate | HISTORY 116,Lecture Section 02,11158,1,5,80.0,2021-06-27 17:25:30.133237
Early Modern Europe | HISTORY 117,Lecture Section 01,6968,30,35,14.285714285714285,2021-06-27 17:25:32.516523
The Documentary Experience: A Video Approach | HISTORY 125S,SEM Section 01,3114,1,12,91.66666666666666,2021-06-27 17:25:35.067138
The Documentary Experience: A Video Approach | HISTORY 125S,SEM Section 02,3119,0,3,100.0,2021-06-27 17:25:37.424667
Introduction to African Studies (DS3 or DS4) | HISTORY 129,Lecture Section 01,5533,12,50,76.0,2021-06-27 17:25:39.793620
American Dreams and American Realities | HISTORY 130D,Lecture Section 001,6969,5,50,90.0,2021-06-27 17:25:42.160604
American Dreams and American Realities | HISTORY 130D,Lecture Section 002,9754,34,50,32.0,2021-06-27 17:25:44.522091
American Dreams and American Realities | HISTORY 130D,Discussion Section 01D,6970,2,25,92.0,2021-06-27 17:25:46.840293
American Dreams and American Realities | HISTORY 130D,Discussion Section 02D,6971,1,25,96.0,2021-06-27 17:25:49.215647
American Dreams and American Realities | HISTORY 130D,Discussion Section 03D,6972,14,25,44.0,2021-06-27 17:25:51.534659
American Dreams and American Realities | HISTORY 130D,Discussion Section 04D,6973,22,25,12.0,2021-06-27 17:25:53.925029
Empires in Modern European History | HISTORY 140S,SEM Section 01,6974,3,18,83.33333333333334,2021-06-27 17:25:56.374831
Gateway Seminar: Cold War America | HISTORY 156S,SEM Section 01,6975,6,18,66.66666666666666,2021-06-27 17:25:58.740304
Gateway Seminar: Empires in Historical Perspective | HISTORY 157S,SEM Section 01,6976,2,18,88.88888888888889,2021-06-27 17:26:01.219402
"Gateway Seminar: The Global Sixties: Race, Revolution, Sexuality | HISTORY 160S",SEM Section 01,6977,0,18,100.0,2021-06-27 17:26:03.681143
Gateway Seminar: Civil Rights and Asian Americans | HISTORY 183S,SEM Section 01,6978,3,18,83.33333333333334,2021-06-27 17:26:06.024079
Gateway Seminar: Disease in the Premodern World | HISTORY 185S,SEM Section 01,6979,-1,15,106.66666666666667,2021-06-27 17:26:08.454320
"Imagining Human Rights: Science Fiction, Culture, and the Creation of Rights | HISTORY 196S",SEM Section 01,10799,0,15,100.0,2021-06-27 17:26:10.876595
"Imagining Human Rights: Science Fiction, Culture, and the Creation of Rights | HISTORY 196S",SEM Section 02,10804,0,1,100.0,2021-06-27 17:26:13.259440
Globalization and History | HISTORY 201,Lecture Section 01,6980,11,60,81.66666666666667,2021-06-27 17:26:15.594418
Islamic Civilization I | HISTORY 210,Lecture Section 01,7270,34,45,24.444444444444443,2021-06-27 17:26:17.938861
"Between Moscow, Beijing and Delhi: Narratives of Europe and Asia | HISTORY 216S",SEM Section 01,4425,11,18,38.88888888888889,2021-06-27 17:26:20.293471
Modern & Global India | HISTORY 218,Lecture Section 01,6981,2,18,88.88888888888889,2021-06-27 17:26:22.655718
Modern & Global India | HISTORY 218,Lecture Section 02,11931,0,2,100.0,2021-06-27 17:26:25.153935
China from Antiquity to 1400 | HISTORY 220,Lecture Section 01,6982,21,35,40.0,2021-06-27 17:26:27.510232
"Food, Farming, and Feminism | HISTORY 221",Lecture Section 01,5178,1,28,96.42857142857143,2021-06-27 17:26:29.904506
Environment and Global Capitalism in Latin America | HISTORY 222,Lecture Section 01,6983,3,30,90.0,2021-06-27 17:26:32.264376
The Emergence of Modern Japan | HISTORY 227,Lecture Section 01,6984,15,25,40.0,2021-06-27 17:26:34.631711
Roman History | HISTORY 233,Lecture Section 01,4058,4,40,90.0,2021-06-27 17:26:37.096066
History of Political Nonviolence | HISTORY 238S,SEM Section 01,6985,4,18,77.77777777777779,2021-06-27 17:26:39.575529
History of Chinese Medicine | HISTORY 239,Lecture Section 01,6986,1,40,97.5,2021-06-27 17:26:42.275504
"The Age of Nero: History, Art, and Literature | HISTORY 241",Lecture Section 01,7710,0,30,100.0,2021-06-27 17:26:44.832706
Medieval Christianity in Film and Fiction | HISTORY 244,Lecture Section 01,7255,35,45,22.22222222222222,2021-06-27 17:26:47.225475
Book Publishing & Marketing: A Case Study of the Romance Fiction Industry | HISTORY 248S,SEM Section 01,6988,0,18,100.0,2021-06-27 17:26:49.583594
Green Germany: World Leader in Environmental Policy | HISTORY 250,Lecture Section 01,4024,3,20,85.0,2021-06-27 17:26:52.002459
Green Germany: World Leader in Environmental Policy | HISTORY 250,Lecture Section 02,4027,0,5,100.0,2021-06-27 17:26:54.359773
Contemporary South Africa | HISTORY 259S,SEM Section 01,9743,5,18,72.22222222222221,2021-06-27 17:26:56.719132
Latin American Wars of Independence | HISTORY 264,Lecture Section 01,6989,21,35,40.0,2021-06-27 17:26:59.121957
Tudor/Stuart Britain | HISTORY 269,Lecture Section 01,6990,9,18,50.0,2021-06-27 17:27:01.504497
The Spanish Civil War in History and Literature | HISTORY 273S-1,SEM Section 01,9495,5,15,66.66666666666666,2021-06-27 17:27:03.860965
Introduction to Asian American and Diaspora Studies | HISTORY 274S,SEM Section 01,7750,0,12,100.0,2021-06-27 17:27:06.238246
The Russian Empire | HISTORY 275,Lecture Section 01,4424,15,18,16.666666666666664,2021-06-27 17:27:08.634910
Masculinities & Global Politics | HISTORY 280S,SEM Section 01,5185,6,15,60.0,2021-06-27 17:27:11.008492
End of Russian Socialism: History of Perestroika | HISTORY 282,Lecture Section 01,6991,35,40,12.5,2021-06-27 17:27:13.457124
Turkish History through the Novels of Orhan Pamuk | HISTORY 283S,SEM Section 01,6649,15,18,16.666666666666664,2021-06-27 17:27:15.805422
"Life Within Capitalism: A History of its Values, Measures and Struggles | HISTORY 284",Lecture Section 01,9120,0,20,100.0,2021-06-27 17:27:18.143958
Europe in the Twentieth Century | HISTORY 286,Lecture Section 01,6992,13,50,74.0,2021-06-27 17:27:20.495276
History of Inequality | HISTORY 288,Lecture Section 01,10706,2,25,92.0,2021-06-27 17:27:22.947582
"Decolonization: Histories, Meanings, Struggles | HISTORY 289S",SEM Section 01,5413,1,16,93.75,2021-06-27 17:27:25.255475
"Race and Society: South Africa and the US, 1890-present | HISTORY 296S",SEM Section 01,9748,1,18,94.44444444444444,2021-06-27 17:27:27.632976
The Holocaust | HISTORY 297,Lecture Section 01,6993,24,50,52.0,2021-06-27 17:27:29.974211
Global South Asia: History and Culture of Diaspora | HISTORY 298S,SEM Section 01,10535,2,15,86.66666666666667,2021-06-27 17:27:32.319781
History of Economic Thought | HISTORY 307,Lecture Section 01,3781,1,30,96.66666666666667,2021-06-27 17:27:34.686871
History of Economic Thought | HISTORY 307,Lecture Section 02,10714,0,15,100.0,2021-06-27 17:27:37.141647
Crime and the City from Dickens to The Wire | HISTORY 313,Lecture Section 01,6994,13,35,62.857142857142854,2021-06-27 17:27:39.654033
"War, Slavery, and Revolution in the Caribbean, 1700-1800 | HISTORY 319",Lecture Section 01,6995,9,10,10.0,2021-06-27 17:27:42.026435
Statecraft and Strategy | HISTORY 322,Lecture Section 01,9760,0,33,100.0,2021-06-27 17:27:44.434479
Methods in Inequality Studies | HISTORY 323,Lecture Section 01,10707,20,25,20.0,2021-06-27 17:27:46.944735
Mexico Since Before Cortes | HISTORY 324,Lecture Section 01,10417,9,10,10.0,2021-06-27 17:27:49.402644
Colonial Latin America | HISTORY 326,Lecture Section 01,6997,21,30,30.0,2021-06-27 17:27:51.752702
Latin America Since Independence | HISTORY 329,Lecture Section 01,10419,11,14,21.428571428571427,2021-06-27 17:27:54.141015
The University as a Culture: A Survivor's Guide | HISTORY 334S,SEM Section 01,5878,4,15,73.33333333333333,2021-06-27 17:27:56.494924
"The Civil War and Reconstruction: The United States, 1850-1880 | HISTORY 340",Lecture Section 01,6998,10,30,66.66666666666666,2021-06-27 17:27:58.864066
North American Environmental History | HISTORY 345,Lecture Section 01,7000,20,35,42.857142857142854,2021-06-27 17:28:01.187842
North American Environmental History | HISTORY 345,Lecture Section 02,11394,0,1,100.0,2021-06-27 17:28:03.554586
Social Movements and Social Problems in Contemporary Spain | HISTORY 353,Lecture Section 01,11193,2,15,86.66666666666667,2021-06-27 17:28:05.928092
The South in Black and White | HISTORY 358S,SEM Section 01,3146,1,15,93.33333333333333,2021-06-27 17:28:08.251209
Violent Jihad in the Twentieth Century - A Global History | HISTORY 359,Lecture Section 01,7001,23,60,61.66666666666667,2021-06-27 17:28:10.596087
The Modern Regulatory State | HISTORY 365D,Lecture Section 001,7002,17,40,57.49999999999999,2021-06-27 17:28:13.078660
The Modern Regulatory State | HISTORY 365D,Discussion Section 01D,7003,1,24,95.83333333333334,2021-06-27 17:28:15.456451
Latinx Social Movements | HISTORY 366S,SEM Section 01,9755,5,18,72.22222222222221,2021-06-27 17:28:17.902542
Feast and Famine: Food in Global History | HISTORY 371,Lecture Section 01,7005,15,40,62.5,2021-06-27 17:28:20.271790
American Indian History Since 1806 | HISTORY 373,Lecture Section 01,7006,24,40,40.0,2021-06-27 17:28:22.626926
"Women, Gender, and Sexuality in U.S. History | HISTORY 374",Lecture Section 01,7007,7,40,82.5,2021-06-27 17:28:25.025316
Veterans Oral History Project | HISTORY 381S,SEM Section 01,3139,1,15,93.33333333333333,2021-06-27 17:28:27.405251
White People: In Anthropological Perspective | HISTORY 385S,SEM Section 01,5548,3,18,83.33333333333334,2021-06-27 17:28:29.856792
Family Rights/Human Rights | HISTORY 389S,SEM Section 01,7008,3,18,83.33333333333334,2021-06-27 17:28:32.226214
Topics in History Seminar | HISTORY 390S,SEM Section 01,6658,17,18,5.555555555555555,2021-06-27 17:28:34.689736
Topics in History Seminar | HISTORY 390S,SEM Section 02,7009,0,14,100.0,2021-06-27 17:28:37.157471
Topics in History Seminar | HISTORY 390S,SEM Section 04,7010,11,18,38.88888888888889,2021-06-27 17:28:39.518172
Research Independent Study | HISTORY 394,IND Section 01,7012,3,10,70.0,2021-06-27 17:28:41.885021
Research Independent Study | HISTORY 394,IND Section 02,7013,9,10,10.0,2021-06-27 17:28:44.242046
Research Independent Study | HISTORY 394,IND Section 03,7014,9,10,10.0,2021-06-27 17:28:46.750020
Research Independent Study | HISTORY 394,IND Section 04,7015,9,10,10.0,2021-06-27 17:28:49.135006
Research Independent Study | HISTORY 394,IND Section 05,7016,4,5,20.0,2021-06-27 17:28:51.478392
Research Independent Study | HISTORY 394,IND Section 06,7017,4,5,20.0,2021-06-27 17:28:53.888213
Research Independent Study | HISTORY 394,IND Section 07,7018,4,5,20.0,2021-06-27 17:28:56.218983
Research Independent Study | HISTORY 394,IND Section 08,7019,4,5,20.0,2021-06-27 17:28:58.564413
Research Independent Study | HISTORY 394,IND Section 09,7020,4,5,20.0,2021-06-27 17:29:00.937193
Research Independent Study | HISTORY 394,IND Section 10,7021,4,5,20.0,2021-06-27 17:29:03.332649
Research Independent Study | HISTORY 394,IND Section 11,7022,4,5,20.0,2021-06-27 17:29:05.669699
Research Independent Study | HISTORY 394,IND Section 12,7023,4,5,20.0,2021-06-27 17:29:08.038523
Research Independent Study | HISTORY 394,IND Section 13,7024,4,5,20.0,2021-06-27 17:29:10.410786
Research Independent Study | HISTORY 394,IND Section 14,7025,4,5,20.0,2021-06-27 17:29:12.808185
Research Independent Study | HISTORY 394,IND Section 15,7026,4,5,20.0,2021-06-27 17:29:15.152837
Research Independent Study | HISTORY 394,IND Section 16,7027,4,5,20.0,2021-06-27 17:29:17.479371
Research Independent Study | HISTORY 394,IND Section 17,7028,4,5,20.0,2021-06-27 17:29:19.970590
Research Independent Study | HISTORY 394,IND Section 18,7029,5,5,0.0,2021-06-27 17:29:22.327535
Research Independent Study | HISTORY 394,IND Section 19,7030,5,5,0.0,2021-06-27 17:29:24.718221
Research Independent Study | HISTORY 394,IND Section 20,7031,5,5,0.0,2021-06-27 17:29:27.134937
Research Independent Study | HISTORY 394,IND Section 21,7032,5,5,0.0,2021-06-27 17:29:29.466419
Research Independent Study | HISTORY 394,IND Section 22,7033,5,5,0.0,2021-06-27 17:29:31.836022
Research Independent Study | HISTORY 394,IND Section 23,7034,5,5,0.0,2021-06-27 17:29:34.220689
Research Independent Study | HISTORY 394,IND Section 24,7035,5,5,0.0,2021-06-27 17:29:36.580892
Research Independent Study | HISTORY 394,IND Section 25,7036,5,5,0.0,2021-06-27 17:29:38.980238
Research Independent Study | HISTORY 394,IND Section 26,7037,5,5,0.0,2021-06-27 17:29:41.332837
Research Independent Study | HISTORY 394,IND Section 27,7038,5,5,0.0,2021-06-27 17:29:43.665032
Research Independent Study | HISTORY 394,IND Section 28,7039,5,5,0.0,2021-06-27 17:29:46.058094
Research Independent Study | HISTORY 394,IND Section 29,7040,5,5,0.0,2021-06-27 17:29:48.484437
Research Independent Study | HISTORY 394,IND Section 30,7041,5,5,0.0,2021-06-27 17:29:50.945624
"Istanbul: Religion, Politics and Cosmopolitanism | HISTORY 397S",SEM Section 01,6645,12,15,20.0,2021-06-27 17:29:53.368063
"Visualizing Cities: Representing Urban Landscapes, Cultures, and Environments | HISTORY 406",Lecture Section 01,11148,9,25,64.0,2021-06-27 17:29:55.930494
Capstone Seminar: Leadership in American History | HISTORY 470S,SEM Section 01,7042,2,18,88.88888888888889,2021-06-27 17:29:58.334194
Capstone Seminar: Russia in World War II | HISTORY 472S,SEM Section 01,7043,11,18,38.88888888888889,2021-06-27 17:30:00.641709
Capstone Seminar: History of Torture | HISTORY 483S,SEM Section 01,7044,11,18,38.88888888888889,2021-06-27 17:30:02.974829
Capstone: Research in Human Rights | HISTORY 488S,SEM Section 01,10853,10,18,44.44444444444444,2021-06-27 17:30:05.334365
Senior Thesis Seminar | HISTORY 496S,SEM Section 01,7045,7,15,53.333333333333336,2021-06-27 17:30:07.632660
First-Year Seminar | HISTORY 89S,SEM Section 01,7078,14,18,22.22222222222222,2021-06-27 18:20:43.294779
First-Year Seminar | HISTORY 89S,SEM Section 02,9367,0,18,100.0,2021-06-27 18:20:45.705120
Comparative Approaches to Global Issues | HISTORY 103,Lecture Section 01,5404,7,44,84.0909090909091,2021-06-27 18:20:48.102991
Comparative Approaches to Global Issues | HISTORY 103,Lecture Section 02,5409,3,5,40.0,2021-06-27 18:20:50.613640
Sexual Pleasure in the Modern World | HISTORY 112,Lecture Section 01,6967,0,60,100.0,2021-06-27 18:20:53.035377
Introduction to Human Rights: Gateway for the Human Rights Certificate | HISTORY 116,Lecture Section 01,11157,3,25,88.0,2021-06-27 18:20:55.673718
Introduction to Human Rights: Gateway for the Human Rights Certificate | HISTORY 116,Lecture Section 02,11158,1,5,80.0,2021-06-27 18:20:58.409858
Early Modern Europe | HISTORY 117,Lecture Section 01,6968,30,35,14.285714285714285,2021-06-27 18:21:00.945192
The Documentary Experience: A Video Approach | HISTORY 125S,SEM Section 01,3114,1,12,91.66666666666666,2021-06-27 18:21:03.411111
The Documentary Experience: A Video Approach | HISTORY 125S,SEM Section 02,3119,0,3,100.0,2021-06-27 18:21:05.842334
Introduction to African Studies (DS3 or DS4) | HISTORY 129,Lecture Section 01,5533,12,50,76.0,2021-06-27 18:21:08.170469
American Dreams and American Realities | HISTORY 130D,Lecture Section 001,6969,5,50,90.0,2021-06-27 18:21:10.523262
American Dreams and American Realities | HISTORY 130D,Lecture Section 002,9754,34,50,32.0,2021-06-27 18:21:12.850385
American Dreams and American Realities | HISTORY 130D,Discussion Section 01D,6970,2,25,92.0,2021-06-27 18:21:15.187758
American Dreams and American Realities | HISTORY 130D,Discussion Section 02D,6971,1,25,96.0,2021-06-27 18:21:17.530037
American Dreams and American Realities | HISTORY 130D,Discussion Section 03D,6972,14,25,44.0,2021-06-27 18:21:19.872207
American Dreams and American Realities | HISTORY 130D,Discussion Section 04D,6973,22,25,12.0,2021-06-27 18:21:22.198780
Empires in Modern European History | HISTORY 140S,SEM Section 01,6974,3,18,83.33333333333334,2021-06-27 18:21:24.592916
Gateway Seminar: Cold War America | HISTORY 156S,SEM Section 01,6975,6,18,66.66666666666666,2021-06-27 18:21:26.947975
Gateway Seminar: Empires in Historical Perspective | HISTORY 157S,SEM Section 01,6976,2,18,88.88888888888889,2021-06-27 18:21:29.262713
"Gateway Seminar: The Global Sixties: Race, Revolution, Sexuality | HISTORY 160S",SEM Section 01,6977,0,18,100.0,2021-06-27 18:21:31.604411
Gateway Seminar: Civil Rights and Asian Americans | HISTORY 183S,SEM Section 01,6978,3,18,83.33333333333334,2021-06-27 18:21:34.008636
Gateway Seminar: Disease in the Premodern World | HISTORY 185S,SEM Section 01,6979,-1,15,106.66666666666667,2021-06-27 18:21:36.337776
"Imagining Human Rights: Science Fiction, Culture, and the Creation of Rights | HISTORY 196S",SEM Section 01,10799,0,15,100.0,2021-06-27 18:21:38.716922
"Imagining Human Rights: Science Fiction, Culture, and the Creation of Rights | HISTORY 196S",SEM Section 02,10804,0,1,100.0,2021-06-27 18:21:41.100006
Globalization and History | HISTORY 201,Lecture Section 01,6980,11,60,81.66666666666667,2021-06-27 18:21:43.438268
Islamic Civilization I | HISTORY 210,Lecture Section 01,7270,34,45,24.444444444444443,2021-06-27 18:21:45.857083
"Between Moscow, Beijing and Delhi: Narratives of Europe and Asia | HISTORY 216S",SEM Section 01,4425,11,18,38.88888888888889,2021-06-27 18:21:48.343570
Modern & Global India | HISTORY 218,Lecture Section 01,6981,2,18,88.88888888888889,2021-06-27 18:21:50.744247
Modern & Global India | HISTORY 218,Lecture Section 02,11931,0,2,100.0,2021-06-27 18:21:53.128996
China from Antiquity to 1400 | HISTORY 220,Lecture Section 01,6982,21,35,40.0,2021-06-27 18:21:55.465852
"Food, Farming, and Feminism | HISTORY 221",Lecture Section 01,5178,1,28,96.42857142857143,2021-06-27 18:21:57.815864
Environment and Global Capitalism in Latin America | HISTORY 222,Lecture Section 01,6983,3,30,90.0,2021-06-27 18:22:00.176478
The Emergence of Modern Japan | HISTORY 227,Lecture Section 01,6984,15,25,40.0,2021-06-27 18:22:02.508396
Roman History | HISTORY 233,Lecture Section 01,4058,4,40,90.0,2021-06-27 18:22:04.895565
History of Political Nonviolence | HISTORY 238S,SEM Section 01,6985,4,18,77.77777777777779,2021-06-27 18:22:07.275381
History of Chinese Medicine | HISTORY 239,Lecture Section 01,6986,1,40,97.5,2021-06-27 18:22:09.619077
"The Age of Nero: History, Art, and Literature | HISTORY 241",Lecture Section 01,7710,0,30,100.0,2021-06-27 18:22:11.976635
Medieval Christianity in Film and Fiction | HISTORY 244,Lecture Section 01,7255,35,45,22.22222222222222,2021-06-27 18:22:14.373111
