Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
First-Year Seminar | PHIL 89S,SEM Section 01,6959,0,18,100.0,2021-06-27 17:34:32.001755
First-Year Seminar | PHIL 89S,SEM Section 02,8743,0,18,100.0,2021-06-27 17:34:34.406056
Introduction to Philosophy | PHIL 101,Lecture Section 01,6924,9,16,43.75,2021-06-27 17:34:36.759402
Introduction to Philosophy | PHIL 103S,SEM Section 01,6925,0,12,100.0,2021-06-27 17:34:39.145494
Introduction to Philosophy | PHIL 103S,SEM Section 02,6926,0,12,100.0,2021-06-27 17:34:41.560718
Logic | PHIL 150,Lecture Section 01,6927,0,15,100.0,2021-06-27 17:34:43.937800
Logic | PHIL 150,Lecture Section 02,6928,0,12,100.0,2021-06-27 17:34:46.334745
Logic | PHIL 150,Lecture Section 03,6929,0,12,100.0,2021-06-27 17:34:48.755020
History of Ancient Philosophy | PHIL 203,Lecture Section 01,6930,1,16,93.75,2021-06-27 17:34:51.140679
Knowledge and Certainty | PHIL 210,Lecture Section 01,6931,0,16,100.0,2021-06-27 17:34:53.563785
Knowledge and Certainty | PHIL 210,Lecture Section 02,11178,1,16,93.75,2021-06-27 17:34:55.972110
Philosophy of Mind | PHIL 212,Lecture Section 01,6932,1,16,93.75,2021-06-27 17:34:58.345216
Problems in Ethical Theory | PHIL 216,Lecture Section 01,6933,0,35,100.0,2021-06-27 17:35:00.760055
Prisoner's Dilemma and Distributive Justice | PHIL 246,Lecture Section 01,6109,5,56,91.07142857142857,2021-06-27 17:35:03.086042
Prisoner's Dilemma and Distributive Justice | PHIL 246,Lecture Section 02,6112,5,40,87.5,2021-06-27 17:35:05.424631
Prisoner's Dilemma and Distributive Justice | PHIL 246,Lecture Section 03,11851,21,25,16.0,2021-06-27 17:35:07.777055
Independent Study | PHIL 291,IND Section 01,6934,2,3,33.33333333333333,2021-06-27 17:35:10.094370
Independent Study | PHIL 291,IND Section 02,6935,2,3,33.33333333333333,2021-06-27 17:35:12.480811
Independent Study | PHIL 291,IND Section 03,6936,5,5,0.0,2021-06-27 17:35:14.812026
Research Independent Study | PHIL 293,IND Section 01,6937,0,1,100.0,2021-06-27 17:35:17.205503
Research Independent Study | PHIL 293,IND Section 02,6938,4,5,20.0,2021-06-27 17:35:19.531440
Research Independent Study | PHIL 293,IND Section 03,6939,1,2,50.0,2021-06-27 17:35:21.856213
Research Independent Study | PHIL 293,IND Section 04,6940,5,5,0.0,2021-06-27 17:35:24.187943
Research Independent Study | PHIL 293,IND Section 05,6941,4,5,20.0,2021-06-27 17:35:26.621458
Research Independent Study | PHIL 293,IND Section 06,6942,4,5,20.0,2021-06-27 17:35:28.934333
Research Independent Study | PHIL 293,IND Section 07,6943,5,5,0.0,2021-06-27 17:35:31.276937
Research Independent Study | PHIL 293,IND Section 08,6944,4,4,0.0,2021-06-27 17:35:33.598221
Philosophy of Biology | PHIL 314,Lecture Section 01,6945,0,20,100.0,2021-06-27 17:35:35.924225
Visual Perception and the Brain | PHIL 355S,SEM Section 01,3983,2,18,88.88888888888889,2021-06-27 17:35:38.321852
"Politics, Philosophy, and Economics Capstone | PHIL 465",Lecture Section 01,10369,1,18,94.44444444444444,2021-06-27 17:35:40.698452
First-Year Seminar | PHIL 89S,SEM Section 01,6959,0,18,100.0,2021-06-27 18:30:03.753221
First-Year Seminar | PHIL 89S,SEM Section 02,8743,0,18,100.0,2021-06-27 18:30:06.215506
Introduction to Philosophy | PHIL 101,Lecture Section 01,6924,9,16,43.75,2021-06-27 18:30:08.699071
Introduction to Philosophy | PHIL 103S,SEM Section 01,6925,0,12,100.0,2021-06-27 18:30:11.187260
Introduction to Philosophy | PHIL 103S,SEM Section 02,6926,0,12,100.0,2021-06-27 18:30:13.641182
Logic | PHIL 150,Lecture Section 01,6927,0,15,100.0,2021-06-27 18:30:16.146032
Logic | PHIL 150,Lecture Section 02,6928,0,12,100.0,2021-06-27 18:30:18.744055
Logic | PHIL 150,Lecture Section 03,6929,0,12,100.0,2021-06-27 18:30:21.110436
History of Ancient Philosophy | PHIL 203,Lecture Section 01,6930,1,16,93.75,2021-06-27 18:30:23.485704
Knowledge and Certainty | PHIL 210,Lecture Section 01,6931,0,16,100.0,2021-06-27 18:30:25.815464
Knowledge and Certainty | PHIL 210,Lecture Section 02,11178,1,16,93.75,2021-06-27 18:30:28.217984
Philosophy of Mind | PHIL 212,Lecture Section 01,6932,1,16,93.75,2021-06-27 18:30:30.555291
Problems in Ethical Theory | PHIL 216,Lecture Section 01,6933,0,35,100.0,2021-06-27 18:30:32.881927
Prisoner's Dilemma and Distributive Justice | PHIL 246,Lecture Section 01,6109,5,56,91.07142857142857,2021-06-27 18:30:35.268658
Prisoner's Dilemma and Distributive Justice | PHIL 246,Lecture Section 02,6112,5,40,87.5,2021-06-27 18:30:37.606774
Prisoner's Dilemma and Distributive Justice | PHIL 246,Lecture Section 03,11851,21,25,16.0,2021-06-27 18:30:40.024513
Independent Study | PHIL 291,IND Section 01,6934,2,3,33.33333333333333,2021-06-27 18:30:42.336169
Independent Study | PHIL 291,IND Section 02,6935,2,3,33.33333333333333,2021-06-27 18:30:44.670726
Independent Study | PHIL 291,IND Section 03,6936,5,5,0.0,2021-06-27 18:30:47.137160
Research Independent Study | PHIL 293,IND Section 01,6937,0,1,100.0,2021-06-27 18:30:49.524836
Research Independent Study | PHIL 293,IND Section 02,6938,4,5,20.0,2021-06-27 18:30:51.880069
Research Independent Study | PHIL 293,IND Section 03,6939,1,2,50.0,2021-06-27 18:30:54.269048
Research Independent Study | PHIL 293,IND Section 04,6940,5,5,0.0,2021-06-27 18:30:56.622362
Research Independent Study | PHIL 293,IND Section 05,6941,4,5,20.0,2021-06-27 18:30:58.953856
Research Independent Study | PHIL 293,IND Section 06,6942,4,5,20.0,2021-06-27 18:31:01.360370
Research Independent Study | PHIL 293,IND Section 07,6943,5,5,0.0,2021-06-27 18:31:03.736924
Research Independent Study | PHIL 293,IND Section 08,6944,4,4,0.0,2021-06-27 18:31:06.108954
Philosophy of Biology | PHIL 314,Lecture Section 01,6945,0,20,100.0,2021-06-27 18:31:08.502815
Visual Perception and the Brain | PHIL 355S,SEM Section 01,3983,2,18,88.88888888888889,2021-06-27 18:31:10.848706
"Politics, Philosophy, and Economics Capstone | PHIL 465",Lecture Section 01,10369,1,18,94.44444444444444,2021-06-27 18:31:13.253599
