Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
The Physics of Sports | PHYSICS 133,Lecture Section 01,7411,2,30,93.33333333333333,2021-06-27 17:37:55.001039
Energy in the 21st Century and Beyond | PHYSICS 137S,SEM Section 01,7412,3,11,72.72727272727273,2021-06-27 17:37:57.407777
Physics and Society: Nuclear Energy | PHYSICS 139S,SEM Section 02,11431,9,15,40.0,2021-06-27 17:37:59.837664
General Physics I (DIS) | PHYSICS 141D,Discussion Section 01D,7414,2,35,94.28571428571428,2021-06-27 17:38:02.235128
General Physics I (DIS) | PHYSICS 141D,Discussion Section 02D,7415,3,35,91.42857142857143,2021-06-27 17:38:04.612230
General Physics I (DIS) | PHYSICS 141D,Discussion Section 03D,11341,4,20,80.0,2021-06-27 17:38:07.011419
General Physics I | PHYSICS 141L,Lecture Section 001,7416,9,90,90.0,2021-06-27 17:38:09.396835
General Physics I (Lab) | PHYSICS 141L9,Laboratory Section 01L,7418,6,35,82.85714285714286,2021-06-27 17:38:11.868967
General Physics I (Lab) | PHYSICS 141L9,Laboratory Section 02L,7419,3,35,91.42857142857143,2021-06-27 17:38:14.436299
General Physics I (Lab) | PHYSICS 141L9,Laboratory Section 03L,11347,0,20,100.0,2021-06-27 17:38:17.014416
General Physics II | PHYSICS 142L,Lecture Section 001,7420,108,200,46.0,2021-06-27 17:38:19.710991
General Physics II (LAB) | PHYSICS 142L9,Laboratory Section 01L,7422,7,30,76.66666666666667,2021-06-27 17:38:22.069314
General Physics II (LAB) | PHYSICS 142L9,Laboratory Section 02L,7423,9,30,70.0,2021-06-27 17:38:24.420414
General Physics II (LAB) | PHYSICS 142L9,Laboratory Section 03L,7424,24,30,20.0,2021-06-27 17:38:26.764082
General Physics II (LAB) | PHYSICS 142L9,Laboratory Section 04L,7425,5,30,83.33333333333334,2021-06-27 17:38:29.083963
General Physics II (LAB) | PHYSICS 142L9,Laboratory Section 05L,7426,23,30,23.333333333333332,2021-06-27 17:38:31.418909
General Physics II (LAB) | PHYSICS 142L9,Laboratory Section 06L,7427,25,30,16.666666666666664,2021-06-27 17:38:33.801061
General Physics II (LAB) | PHYSICS 142L9,Laboratory Section 07L,7428,25,30,16.666666666666664,2021-06-27 17:38:36.187140
General Physics II (Discussion) | PHYSICS 142L9D,Discussion Section 01D,7429,6,25,76.0,2021-06-27 17:38:38.511243
