Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Special Topics in Focus | FOCUS 195FS,Lecture Section 01,5401,0,36,100.0,No,2021-07-01 11:16:55.181043
Special Topics in Focus | FOCUS 195FS,Lecture Section 02,5402,6,27,77.77777777777779,No,2021-07-01 11:16:57.579554
Special Topics in Focus | FOCUS 195FS,Lecture Section 03,5403,0,36,100.0,No,2021-07-01 11:16:59.983552
Special Topics in Focus | FOCUS 195FS,Lecture Section 04,5404,0,36,100.0,No,2021-07-01 11:17:02.457414
Special Topics in Focus | FOCUS 195FS,Lecture Section 05,5405,2,27,92.5925925925926,No,2021-07-01 11:17:04.825301
Special Topics in Focus | FOCUS 195FS,Lecture Section 06,5406,0,36,100.0,No,2021-07-01 11:17:07.168394
Special Topics in Focus | FOCUS 195FS,Lecture Section 07,5407,0,36,100.0,No,2021-07-01 11:17:09.538431
Special Topics in Focus | FOCUS 195FS,Lecture Section 08,5408,5,36,86.11111111111111,No,2021-07-01 11:17:11.956806
Special Topics in Focus | FOCUS 195FS,Lecture Section 09,5409,2,27,92.5925925925926,No,2021-07-01 11:17:14.372538
Special Topics in Focus | FOCUS 195FS,Lecture Section 10,5410,0,36,100.0,No,2021-07-01 11:17:16.742791
Special Topics in Focus | FOCUS 195FS,Lecture Section 11,5411,5,27,81.48148148148148,No,2021-07-01 11:17:19.091734
Special Topics in Focus | FOCUS 195FS,Lecture Section 12,5412,2,27,92.5925925925926,No,2021-07-01 11:17:21.507706
Special Topics in Focus | FOCUS 195FS,Lecture Section 13,5413,1,36,97.22222222222221,No,2021-07-01 11:17:23.866466
Special Topics in Focus | FOCUS 195FS,Lecture Section 14,5414,10,36,72.22222222222221,No,2021-07-01 11:17:26.223680
Special Topics in Focus | FOCUS 195FS,Lecture Section 15,5415,1,36,97.22222222222221,No,2021-07-01 11:17:28.600241
Special Topics in Focus | FOCUS 195FS,Lecture Section 16,5416,1,36,97.22222222222221,No,2021-07-01 11:17:30.962399
Special Topics in Focus | FOCUS 195FS,Lecture Section 01,5401,0,36,100.0,No,2021-07-01 17:38:01.990817
Special Topics in Focus | FOCUS 195FS,Lecture Section 02,5402,6,27,77.77777777777779,No,2021-07-01 17:38:04.422840
Special Topics in Focus | FOCUS 195FS,Lecture Section 03,5403,0,36,100.0,No,2021-07-01 17:38:06.826186
Special Topics in Focus | FOCUS 195FS,Lecture Section 04,5404,0,36,100.0,No,2021-07-01 17:38:09.280043
Special Topics in Focus | FOCUS 195FS,Lecture Section 05,5405,2,27,92.5925925925926,No,2021-07-01 17:38:11.733477
Special Topics in Focus | FOCUS 195FS,Lecture Section 06,5406,0,36,100.0,No,2021-07-01 17:38:14.082075
Special Topics in Focus | FOCUS 195FS,Lecture Section 07,5407,0,36,100.0,No,2021-07-01 17:38:16.481320
Special Topics in Focus | FOCUS 195FS,Lecture Section 08,5408,5,36,86.11111111111111,No,2021-07-01 17:38:18.942532
Special Topics in Focus | FOCUS 195FS,Lecture Section 09,5409,2,27,92.5925925925926,No,2021-07-01 17:38:21.276130
Special Topics in Focus | FOCUS 195FS,Lecture Section 10,5410,0,36,100.0,No,2021-07-01 17:38:23.622982
Special Topics in Focus | FOCUS 195FS,Lecture Section 11,5411,5,27,81.48148148148148,No,2021-07-01 17:38:26.055742
Special Topics in Focus | FOCUS 195FS,Lecture Section 12,5412,2,27,92.5925925925926,No,2021-07-01 17:38:28.386612
Special Topics in Focus | FOCUS 195FS,Lecture Section 13,5413,0,36,100.0,No,2021-07-01 17:38:30.725183
Special Topics in Focus | FOCUS 195FS,Lecture Section 14,5414,10,36,72.22222222222221,No,2021-07-01 17:38:33.036018
Special Topics in Focus | FOCUS 195FS,Lecture Section 15,5415,1,36,97.22222222222221,No,2021-07-01 17:38:35.436660
Special Topics in Focus | FOCUS 195FS,Lecture Section 16,5416,1,36,97.22222222222221,No,2021-07-01 17:38:37.840161
