Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Research Independent Study in Science Education | PHARM 293,IND Section 01,1381,1,1,0.0,No,2021-07-01 11:20:39.316262
Pharmacology: Drug Actions and Reactions | PHARM 350,Lecture Section 01,5583,14,14,0.0,No,2021-07-01 11:20:41.731106
Research Independent Study | PHARM 393,IND Section 01,1382,2,2,0.0,No,2021-07-01 11:20:44.225991
Research Independent Study | PHARM 393,IND Section 02,1383,2,2,0.0,No,2021-07-01 11:20:46.709299
Research Independent Study | PHARM 393,IND Section 03,1384,2,2,0.0,No,2021-07-01 11:20:49.100175
Research Independent Study | PHARM 393,IND Section 04,1385,2,2,0.0,No,2021-07-01 11:20:51.645880
Research Independent Study | PHARM 393,IND Section 05,1386,2,2,0.0,No,2021-07-01 11:20:54.007888
Research Independent Study | PHARM 393,IND Section 06,1387,2,2,0.0,No,2021-07-01 11:20:56.409156
Research Independent Study | PHARM 393,IND Section 07,1388,2,2,0.0,No,2021-07-01 11:20:58.826818
Research Independent Study | PHARM 393,IND Section 08,1389,2,2,0.0,No,2021-07-01 11:21:01.248879
Research Independent Study | PHARM 393,IND Section 09,1390,2,2,0.0,No,2021-07-01 11:21:03.606613
Research Independent Study | PHARM 393,IND Section 10,1391,2,2,0.0,No,2021-07-01 11:21:05.961677
Research Independent Study | PHARM 393,IND Section 11,1392,2,2,0.0,No,2021-07-01 11:21:08.337972
Research Independent Study | PHARM 393,IND Section 12,1393,2,2,0.0,No,2021-07-01 11:21:10.758680
Research Independent Study | PHARM 393,IND Section 13,1394,2,2,0.0,No,2021-07-01 11:21:13.241860
Research Independent Study | PHARM 393,IND Section 14,1395,2,2,0.0,No,2021-07-01 11:21:15.696307
Research Independent Study | PHARM 393,IND Section 15,1396,2,2,0.0,No,2021-07-01 11:21:18.106163
Research Independent Study | PHARM 393,IND Section 16,1397,2,2,0.0,No,2021-07-01 11:21:20.486130
Research Independent Study | PHARM 393,IND Section 17,1398,2,2,0.0,No,2021-07-01 11:21:22.868501
Research Independent Study | PHARM 393,IND Section 18,1399,2,2,0.0,No,2021-07-01 11:21:25.230061
Research Independent Study | PHARM 393,IND Section 19,1400,2,2,0.0,No,2021-07-01 11:21:27.597911
Research Independent Study | PHARM 393,IND Section 20,1401,2,2,0.0,No,2021-07-01 11:21:29.958426
Research Independent Study | PHARM 393,IND Section 21,1402,2,2,0.0,No,2021-07-01 11:21:32.370676
Research Independent Study | PHARM 393,IND Section 22,1403,1,1,0.0,No,2021-07-01 11:21:34.771542
Research Independent Study | PHARM 393,IND Section 23,1404,2,2,0.0,No,2021-07-01 11:21:37.156966
Research Independent Study | PHARM 393,IND Section 24,1405,2,2,0.0,No,2021-07-01 11:21:39.554491
Research Independent Study | PHARM 393,IND Section 25,1406,2,2,0.0,No,2021-07-01 11:21:41.972678
Research Independent Study | PHARM 393,IND Section 40,1407,2,2,0.0,No,2021-07-01 11:21:44.391812
Research Independent Study | PHARM 393,IND Section 41,1408,2,2,0.0,No,2021-07-01 11:21:46.853846
Research Independent Study | PHARM 394,IND Section 01,1409,2,2,0.0,No,2021-07-01 11:21:49.259130
Research Independent Study | PHARM 394,IND Section 02,1410,2,2,0.0,No,2021-07-01 11:21:51.597077
Research Independent Study | PHARM 493,IND Section 01,1339,2,2,0.0,No,2021-07-01 11:21:53.965749
Research Independent Study | PHARM 493,IND Section 02,1340,2,2,0.0,No,2021-07-01 11:21:56.287888
Research Independent Study | PHARM 493,IND Section 03,1341,2,2,0.0,No,2021-07-01 11:21:58.651579
Research Independent Study | PHARM 493,IND Section 04,1342,2,2,0.0,No,2021-07-01 11:22:00.989496
Research Independent Study | PHARM 493,IND Section 05,1343,2,2,0.0,No,2021-07-01 11:22:03.338302
Research Independent Study | PHARM 493,IND Section 06,1344,2,2,0.0,No,2021-07-01 11:22:05.731782
Research Independent Study | PHARM 493,IND Section 07,1345,2,2,0.0,No,2021-07-01 11:22:08.148169
Research Independent Study | PHARM 493,IND Section 08,1346,3,3,0.0,No,2021-07-01 11:22:10.752765
Research Independent Study | PHARM 493,IND Section 09,1347,2,2,0.0,No,2021-07-01 11:22:13.243839
Research Independent Study | PHARM 493,IND Section 10,1348,1,1,0.0,No,2021-07-01 11:22:15.658063
Research Independent Study | PHARM 493,IND Section 11,1349,2,2,0.0,No,2021-07-01 11:22:18.060087
Research Independent Study | PHARM 493,IND Section 12,1350,2,2,0.0,No,2021-07-01 11:22:20.448453
Research Independent Study | PHARM 493,IND Section 13,1351,2,2,0.0,No,2021-07-01 11:22:22.913822
Research Independent Study | PHARM 493,IND Section 14,1352,2,2,0.0,No,2021-07-01 11:22:25.359444
Research Independent Study | PHARM 493,IND Section 15,1353,2,2,0.0,No,2021-07-01 11:22:27.686770
Research Independent Study | PHARM 493,IND Section 16,1354,2,2,0.0,No,2021-07-01 11:22:30.022796
Research Independent Study | PHARM 493,IND Section 17,1355,2,2,0.0,No,2021-07-01 11:22:32.368392
Research Independent Study | PHARM 493,IND Section 18,1356,2,2,0.0,No,2021-07-01 11:22:34.693554
Research Independent Study | PHARM 493,IND Section 19,1357,2,2,0.0,No,2021-07-01 11:22:37.045772
Research Independent Study | PHARM 493,IND Section 20,1358,2,2,0.0,No,2021-07-01 11:22:39.416036
Research Independent Study | PHARM 493,IND Section 21,1359,2,2,0.0,No,2021-07-01 11:22:41.752936
Research Independent Study | PHARM 493,IND Section 22,1360,2,2,0.0,No,2021-07-01 11:22:44.088912
Research Independent Study | PHARM 493,IND Section 23,1361,2,2,0.0,No,2021-07-01 11:22:46.417539
Research Independent Study | PHARM 493,IND Section 24,1362,2,2,0.0,No,2021-07-01 11:22:48.749740
Research Independent Study | PHARM 493,IND Section 25,1363,3,3,0.0,No,2021-07-01 11:22:51.136993
Research Independent Study | PHARM 493,IND Section 26,1364,2,2,0.0,No,2021-07-01 11:22:53.491036
Research Independent Study | PHARM 493,IND Section 27,1365,2,2,0.0,No,2021-07-01 11:22:55.924447
Research Independent Study | PHARM 493,IND Section 40,1366,1,1,0.0,No,2021-07-01 11:22:58.243507
Research Independent Study | PHARM 493,IND Section 41,1367,3,3,0.0,No,2021-07-01 11:23:00.556837
Research Independent Study | PHARM 493,IND Section 42,1368,1,1,0.0,No,2021-07-01 11:23:02.893299
