Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar: Special Topics | WRITING 89S,SEM Section 01,4674,15,15,0.0,No,2021-07-01 17:46:35.567901
Academic Writing | WRITING 101,Lecture Section 01,4616,15,15,0.0,No,2021-07-01 17:46:38.132205
Academic Writing | WRITING 101,Lecture Section 02,4617,15,15,0.0,No,2021-07-01 17:46:40.620180
Academic Writing | WRITING 101,Lecture Section 03,4618,15,15,0.0,No,2021-07-01 17:46:43.089942
Academic Writing | WRITING 101,Lecture Section 04,4619,15,15,0.0,Yes,2021-07-01 17:46:45.611270
Academic Writing | WRITING 101,Lecture Section 05,4620,15,15,0.0,Yes,2021-07-01 17:46:48.075835
Academic Writing | WRITING 101,Lecture Section 06,4621,15,15,0.0,Yes,2021-07-01 17:46:50.552163
Academic Writing | WRITING 101,Lecture Section 07,4622,15,15,0.0,No,2021-07-01 17:46:52.965691
Academic Writing | WRITING 101,Lecture Section 08,4623,15,15,0.0,Yes,2021-07-01 17:46:55.400513
Academic Writing | WRITING 101,Lecture Section 09,4624,15,15,0.0,Yes,2021-07-01 17:46:57.772296
Academic Writing | WRITING 101,Lecture Section 10,4625,15,15,0.0,Yes,2021-07-01 17:47:00.244893
Academic Writing | WRITING 101,Lecture Section 11,4626,15,15,0.0,No,2021-07-01 17:47:02.692123
Academic Writing | WRITING 101,Lecture Section 12,4627,15,15,0.0,No,2021-07-01 17:47:05.116138
Academic Writing | WRITING 101,Lecture Section 13,4628,15,15,0.0,No,2021-07-01 17:47:07.505480
Academic Writing | WRITING 101,Lecture Section 14,4629,15,15,0.0,No,2021-07-01 17:47:09.874584
Academic Writing | WRITING 101,Lecture Section 15,4630,15,15,0.0,No,2021-07-01 17:47:12.245921
Academic Writing | WRITING 101,Lecture Section 16,4631,15,15,0.0,No,2021-07-01 17:47:14.640013
Academic Writing | WRITING 101,Lecture Section 17,4632,15,15,0.0,No,2021-07-01 17:47:17.158878
Academic Writing | WRITING 101,Lecture Section 18,4633,15,15,0.0,No,2021-07-01 17:47:19.540638
Academic Writing | WRITING 101,Lecture Section 19,4634,15,15,0.0,No,2021-07-01 17:47:21.885814
Academic Writing | WRITING 101,Lecture Section 20,4635,15,15,0.0,No,2021-07-01 17:47:24.240199
Academic Writing | WRITING 101,Lecture Section 21,4636,15,15,0.0,No,2021-07-01 17:47:26.605721
