Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar | ENVIRON 89S,SEM Section 01,7691,18,18,0.0,No,2021-07-01 17:36:56.992635
Introduction to Environmental Sciences and Policy | ENVIRON 102,Lecture Section 01,7728,100,100,0.0,No,2021-07-01 17:36:59.513360
Genomics of Host-Microbe Interactions: The Symbiotic Web | ENVIRON 148FS,SEM Section 01,7791,0,18,100.0,No,2021-07-01 17:37:02.001145
"Climate, Coffee, and Coronavirus: Why Ecology Matters to Human Health | ENVIRON 153",Lecture Section 01,5871,50,50,0.0,No,2021-07-01 17:37:04.421380
"Climate, Coffee, & Coronavirus: Why Ecology Matters to Human Health | ENVIRON 153S",SEM Section 01,5977,18,18,0.0,No,2021-07-01 17:37:06.890093
Topics in Environment | ENVIRON 190FS,SEM Section 01,7283,0,18,100.0,No,2021-07-01 17:37:09.390521
Integrating Environmental Sciences and Policy | ENVIRON 201,Lecture Section 01,7692,90,90,0.0,No,2021-07-01 17:37:11.986290
Conserving the Variety of Life on Earth | ENVIRON 210D,Lecture Section 001,7741,40,40,0.0,No,2021-07-01 17:37:14.368715
Conserving the Variety of Life on Earth | ENVIRON 210D,Discussion Section 01D,7742,20,20,0.0,No,2021-07-01 17:37:16.756663
Conserving the Variety of Life on Earth | ENVIRON 210D,Discussion Section 02D,7743,20,20,0.0,No,2021-07-01 17:37:19.218650
Water Sciences: Principles and Challenges | ENVIRON 220,Lecture Section 01,9694,30,30,0.0,No,2021-07-01 17:37:21.699022
Field Methods in Earth and Environmental Sciences | ENVIRON 226S,SEM Section 01,9697,15,15,0.0,No,2021-07-01 17:37:24.201025
Food and Fuel for a Growing Population: Nuts and Bolts of Plant Growth and Production | ENVIRON 228S,SEM Section 01,9607,12,12,0.0,No,2021-07-01 17:37:26.878520
Energy and the Environment | ENVIRON 231,Lecture Section 01,7738,175,175,0.0,No,2021-07-01 17:37:29.422537
Environmental Law and Policy | ENVIRON 265,Lecture Section 01,7796,25,25,0.0,No,2021-07-01 17:37:31.949052
Marine Ecology | ENVIRON 273LA,Laboratory Section 01,9515,12,12,0.0,No,2021-07-01 17:37:34.488546
"People, Plants and Pollution: Introduction to Urban Environments | ENVIRON 274",Lecture Section 01,5946,24,24,0.0,No,2021-07-01 17:37:36.866281
"Denial, Faith, Reason: Sustainability and Survival | ENVIRON 276",Lecture Section 01,7974,20,20,0.0,No,2021-07-01 17:37:39.217859
Marine Policy | ENVIRON 286A,Lecture Section 01,9536,4,4,0.0,No,2021-07-01 17:37:41.580509
"Conservation Biology & Service Learning: coastal ecosystems, restoration and communities | ENVIRON 287A",Lecture Section 01,9539,10,10,0.0,No,2021-07-01 17:37:43.950589
Special Topics in Environmental Sciences and Policy | ENVIRON 290S,SEM Section 01,6896,18,18,0.0,No,2021-07-01 17:37:46.337803
Oceans in Human and Environmental Health | ENVIRON 309A,Lecture Section 01,9559,15,15,0.0,No,2021-07-01 17:37:48.747473
Environmental Issues & the Documentary Arts | ENVIRON 315S,SEM Section 01,7770,18,18,0.0,No,2021-07-01 17:37:51.102987
Aquaculture and the Environment | ENVIRON 319A,Lecture Section 01,9555,15,15,0.0,No,2021-07-01 17:37:53.466448
Field Ecology | ENVIRON 361LS,SEM Section 001,5927,12,12,0.0,No,2021-07-01 17:37:55.970180
