
SEM Section 01,4731,15,15,No,0.0,2021-07-10 11:51:52.564451
Lecture Section 001,4694,29,30,No,3.3333333333333335,2021-07-10 11:51:52.564472
Lecture Section 002,4695,26,30,No,13.333333333333334,2021-07-10 11:51:52.564481
Laboratory Section 01L,4696,20,20,No,0.0,2021-07-10 11:51:52.564489
Laboratory Section 02L,4697,19,20,No,5.0,2021-07-10 11:51:52.564497
Laboratory Section 03L,4698,16,20,No,20.0,2021-07-10 11:51:52.564505
Lecture Section 001,4699,21,25,No,16.0,2021-07-10 11:51:52.564512
Laboratory Section 01L,4700,21,25,No,16.0,2021-07-10 11:51:52.564519
Lecture Section 001,4701,139,140,No,0.7142857142857143,2021-07-10 11:51:52.564527
Lecture Section 002,4702,136,140,No,2.857142857142857,2021-07-10 11:51:52.564535
Laboratory Section 01L,4703,24,25,No,4.0,2021-07-10 11:51:52.564543
Laboratory Section 02L,4704,21,25,No,16.0,2021-07-10 11:51:52.564550
Laboratory Section 03L,4705,25,25,No,0.0,2021-07-10 11:51:52.564557
Laboratory Section 04L,4706,25,25,No,0.0,2021-07-10 11:51:52.564565
Laboratory Section 05L,4707,25,25,No,0.0,2021-07-10 11:51:52.564572
Laboratory Section 06L,4708,25,25,No,0.0,2021-07-10 11:51:52.564579
Laboratory Section 07L,4709,25,25,No,0.0,2021-07-10 11:51:52.564587
Laboratory Section 08L,4710,25,25,No,0.0,2021-07-10 11:51:52.564594
Laboratory Section 09L,4711,25,25,No,0.0,2021-07-10 11:51:52.564602
Laboratory Section 10L,4712,25,25,No,0.0,2021-07-10 11:51:52.564612
Lecture Section 001,4713,21,25,No,16.0,2021-07-10 11:51:52.564625
Lecture Section 002,4714,16,25,No,36.0,2021-07-10 11:51:52.564634
Laboratory Section 01L,4715,21,25,No,16.0,2021-07-10 11:51:52.564642
Laboratory Section 02L,4716,16,25,No,36.0,2021-07-10 11:51:52.564649
Lecture Section 001,4717,23,25,No,8.0,2021-07-10 11:51:52.564658
Lecture Section 002,4718,25,25,No,0.0,2021-07-10 11:51:52.564667
