Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Research Independent Study in Science Education | PHARM 293,IND Section 01,1381,1,1,0.0,No,2021-06-30 21:50:45.487317
Pharmacology: Drug Actions and Reactions | PHARM 350,Lecture Section 01,5583,14,14,0.0,No,2021-06-30 21:50:47.856396
Research Independent Study | PHARM 393,IND Section 01,1382,2,2,0.0,No,2021-06-30 21:50:50.217514
Research Independent Study | PHARM 393,IND Section 02,1383,2,2,0.0,No,2021-06-30 21:50:52.580397
Research Independent Study | PHARM 393,IND Section 03,1384,2,2,0.0,No,2021-06-30 21:50:55.037975
Research Independent Study | PHARM 393,IND Section 04,1385,2,2,0.0,No,2021-06-30 21:50:57.445765
Research Independent Study | PHARM 393,IND Section 05,1386,2,2,0.0,No,2021-06-30 21:50:59.837151
Research Independent Study | PHARM 393,IND Section 06,1387,2,2,0.0,No,2021-06-30 21:51:02.237136
Research Independent Study | PHARM 393,IND Section 07,1388,2,2,0.0,No,2021-06-30 21:51:04.602194
Research Independent Study | PHARM 393,IND Section 08,1389,2,2,0.0,No,2021-06-30 21:51:07.014378
Research Independent Study | PHARM 393,IND Section 09,1390,2,2,0.0,No,2021-06-30 21:51:09.343904
Research Independent Study | PHARM 393,IND Section 10,1391,2,2,0.0,No,2021-06-30 21:51:11.798104
Research Independent Study | PHARM 393,IND Section 11,1392,2,2,0.0,No,2021-06-30 21:51:14.207813
Research Independent Study | PHARM 393,IND Section 12,1393,2,2,0.0,No,2021-06-30 21:51:16.559170
Research Independent Study | PHARM 393,IND Section 13,1394,2,2,0.0,No,2021-06-30 21:51:18.943700
Research Independent Study | PHARM 393,IND Section 14,1395,2,2,0.0,No,2021-06-30 21:51:21.272953
Research Independent Study | PHARM 393,IND Section 15,1396,2,2,0.0,No,2021-06-30 21:51:23.650271
Research Independent Study | PHARM 393,IND Section 16,1397,2,2,0.0,No,2021-06-30 21:51:25.971287
Research Independent Study | PHARM 393,IND Section 17,1398,2,2,0.0,No,2021-06-30 21:51:28.311887
Research Independent Study | PHARM 393,IND Section 18,1399,2,2,0.0,No,2021-06-30 21:51:30.679365
Research Independent Study | PHARM 393,IND Section 19,1400,2,2,0.0,No,2021-06-30 21:51:33.009247
Research Independent Study | PHARM 393,IND Section 20,1401,2,2,0.0,No,2021-06-30 21:51:35.318615
Research Independent Study | PHARM 393,IND Section 21,1402,2,2,0.0,No,2021-06-30 21:51:37.634876
Research Independent Study | PHARM 393,IND Section 22,1403,1,1,0.0,No,2021-06-30 21:51:40.000821
Research Independent Study | PHARM 393,IND Section 23,1404,2,2,0.0,No,2021-06-30 21:51:42.334597
Research Independent Study | PHARM 393,IND Section 24,1405,2,2,0.0,No,2021-06-30 21:51:44.715330
Research Independent Study | PHARM 393,IND Section 25,1406,2,2,0.0,No,2021-06-30 21:51:47.116403
Research Independent Study | PHARM 393,IND Section 40,1407,2,2,0.0,No,2021-06-30 21:51:49.453005
Research Independent Study | PHARM 393,IND Section 41,1408,2,2,0.0,No,2021-06-30 21:51:51.797247
Research Independent Study | PHARM 394,IND Section 01,1409,2,2,0.0,No,2021-06-30 21:51:54.141622
Research Independent Study | PHARM 394,IND Section 02,1410,2,2,0.0,No,2021-06-30 21:51:56.512930
Research Independent Study | PHARM 493,IND Section 01,1339,2,2,0.0,No,2021-06-30 21:51:58.875691
Research Independent Study | PHARM 493,IND Section 02,1340,2,2,0.0,No,2021-06-30 21:52:01.219840
Research Independent Study | PHARM 493,IND Section 03,1341,2,2,0.0,No,2021-06-30 21:52:03.524746
Research Independent Study | PHARM 493,IND Section 04,1342,2,2,0.0,No,2021-06-30 21:52:05.828014
Research Independent Study | PHARM 493,IND Section 05,1343,2,2,0.0,No,2021-06-30 21:52:08.151804
Research Independent Study | PHARM 493,IND Section 06,1344,2,2,0.0,No,2021-06-30 21:52:10.510965
Research Independent Study | PHARM 493,IND Section 07,1345,2,2,0.0,No,2021-06-30 21:52:12.837770
Research Independent Study | PHARM 493,IND Section 08,1346,3,3,0.0,No,2021-06-30 21:52:15.209602
Research Independent Study | PHARM 493,IND Section 09,1347,2,2,0.0,No,2021-06-30 21:52:17.552014
Research Independent Study | PHARM 493,IND Section 10,1348,1,1,0.0,No,2021-06-30 21:52:19.878133
Research Independent Study | PHARM 493,IND Section 11,1349,2,2,0.0,No,2021-06-30 21:52:22.210371
Research Independent Study | PHARM 493,IND Section 12,1350,2,2,0.0,No,2021-06-30 21:52:24.556548
Research Independent Study | PHARM 493,IND Section 13,1351,2,2,0.0,No,2021-06-30 21:52:26.943028
Research Independent Study | PHARM 493,IND Section 14,1352,2,2,0.0,No,2021-06-30 21:52:29.499450
Research Independent Study | PHARM 493,IND Section 15,1353,2,2,0.0,No,2021-06-30 21:52:31.819388
Research Independent Study | PHARM 493,IND Section 16,1354,2,2,0.0,No,2021-06-30 21:52:34.171343
