Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar | SOCIOL 89S,SEM Section 01,7575,18,18,0.0,No,2021-07-01 11:21:19.128550
Sociological Inquiry | SOCIOL 110,Lecture Section 01,8714,120,120,0.0,No,2021-07-01 11:21:21.493844
"Languages, Margins, Borders: Representations, Practices, and Policies | SOCIOL 125FS",SEM Section 01,4383,3,18,83.33333333333334,No,2021-07-01 11:21:23.841327
"Refugees, Rights, and Resettlement | SOCIOL 178FS",SEM Section 01,8784,0,18,100.0,No,2021-07-01 11:21:26.183168
Seminar in Special Topics | SOCIOL 190S,SEM Section 01,4185,18,18,0.0,No,2021-07-01 11:21:28.522644
Comparative Approaches to Global Issues | SOCIOL 195,Lecture Section 01,8688,49,49,0.0,No,2021-07-01 11:21:30.896298
Patient and Research Participant Activism and Advocacy | SOCIOL 196FS,SEM Section 01,8124,0,18,100.0,No,2021-07-01 11:21:33.315118
Freedom and the Market | SOCIOL 197FS,SEM Section 01,8790,1,18,94.44444444444444,No,2021-07-01 11:21:35.682103
Contemporary Social Problems | SOCIOL 210,Lecture Section 01,8715,35,35,0.0,No,2021-07-01 11:21:38.015145
Introduction to Digital Feminism | SOCIOL 217S,SEM Section 01,4963,18,18,0.0,No,2021-07-01 11:21:40.345482
"Sex, Gender, and Society | SOCIOL 218",Lecture Section 01,8716,35,35,0.0,No,2021-07-01 11:21:42.731891
Leadership and Collaboration | SOCIOL 227,Lecture Section 01,8794,35,35,0.0,No,2021-07-01 11:21:45.077236
Markets and Marketing | SOCIOL 258,Lecture Section 01,8720,35,35,0.0,No,2021-07-01 11:21:47.461160
Death and Dying | SOCIOL 264,Lecture Section 01,8767,35,35,0.0,No,2021-07-01 11:21:49.837118
Drug Use and Abuse: Getting High in the United States | SOCIOL 265,Lecture Section 01,8791,70,70,0.0,No,2021-07-01 11:21:52.200053
Independent Study for Nonmajors | SOCIOL 291,IND Section 01,8770,10,10,0.0,No,2021-07-01 11:21:54.546078
Independent Study for Nonmajors | SOCIOL 291,IND Section 02,8771,10,10,0.0,No,2021-07-01 11:21:56.984905
Independent Study for Nonmajors | SOCIOL 291,IND Section 03,8772,10,10,0.0,No,2021-07-01 11:21:59.366358
Research Independent Study for Non-Majors | SOCIOL 293,IND Section 01,8776,10,10,0.0,No,2021-07-01 11:22:01.895113
Research Independent Study for Non-Majors | SOCIOL 293,IND Section 02,8777,10,10,0.0,No,2021-07-01 11:22:04.577664
Research Independent Study for Non-Majors | SOCIOL 293,IND Section 03,8778,10,10,0.0,No,2021-07-01 11:22:06.996413
Research Independent Study for Non-Majors | SOCIOL 293,IND Section 04,8779,10,10,0.0,No,2021-07-01 11:22:09.366290
Research Independent Study for Non-Majors | SOCIOL 293,IND Section 05,8780,10,10,0.0,No,2021-07-01 11:22:11.726073
Research Independent Study for Non-Majors | SOCIOL 293,IND Section 06,8781,10,10,0.0,No,2021-07-01 11:22:14.170198
Research Independent Study for Non-Majors | SOCIOL 293,IND Section 07,8782,10,10,0.0,No,2021-07-01 11:22:16.601291
Research Independent Study for Non-Majors | SOCIOL 293,IND Section 08,8783,10,10,0.0,No,2021-07-01 11:22:19.020377
Women at Work: Gendered Experience of Corporate Life | SOCIOL 331,Lecture Section 01,4946,18,18,0.0,No,2021-07-01 11:22:21.386272
Methods of Social Research | SOCIOL 332,Lecture Section 01,8717,25,25,0.0,No,2021-07-01 11:22:23.738529
