Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Studies in Special Topics | CULANTH 80S,SEM Section 01,4162,18,18,0.0,No,2021-07-01 11:13:12.300449
Studies in Special Topics | CULANTH 80S,SEM Section 02,4163,18,18,0.0,No,2021-07-01 11:13:14.857920
Introduction to Cultural Anthropology | CULANTH 101,Lecture Section 01,4165,60,60,0.0,No,2021-07-01 11:13:17.409719
"Human Rights: Back to the Future, looking at roots and current reality of human rights | CULANTH 103FS",SEM Section 01,4198,5,18,72.22222222222221,No,2021-07-01 11:13:19.855088
Introduction to African Studies (DS3 or DS4) | CULANTH 105,Lecture Section 01,7325,60,60,0.0,No,2021-07-01 11:13:22.309240
The Documentary Experience: A Video Approach | CULANTH 106S,SEM Section 01,6633,12,12,0.0,Yes,2021-07-01 11:13:24.790776
Making Your Case: Global Advocacy for Humanitarian Causes | CULANTH 114FS,SEM Section 01,4202,0,16,100.0,No,2021-07-01 11:13:27.222077
"Music, Social Life, and Scenes | CULANTH 137",Lecture Section 01,6836,20,20,0.0,No,2021-07-01 11:13:29.651672
African Hashtag Activism | CULANTH 185S,SEM Section 01,7395,18,18,0.0,No,2021-07-01 11:13:32.077297
Women and Gender in the Middle East | CULANTH 189,Lecture Section 01,6593,18,18,0.0,No,2021-07-01 11:13:34.604086
Topics in Cultural Anthropology | CULANTH 190S,SEM Section 01,6899,18,18,0.0,No,2021-07-01 11:13:36.979460
Comparative Approaches to Global Issues | CULANTH 195,Lecture Section 01,8685,49,49,0.0,No,2021-07-01 11:13:39.370839
Patient and Research Participant Activism and Advocacy | CULANTH 196FS,SEM Section 01,8125,0,18,100.0,No,2021-07-01 11:13:41.745978
Introduction to Linguistics | CULANTH 201,Lecture Section 01,4369,30,30,0.0,No,2021-07-01 11:13:44.122228
Introduction to Linguistics | CULANTH 201,Lecture Section 02,4370,30,30,0.0,No,2021-07-01 11:13:46.519255
The Anthropology of Race | CULANTH 208FS,SEM Section 01,4178,4,18,77.77777777777779,No,2021-07-01 11:13:48.927999
Language and Society | CULANTH 212,Lecture Section 01,7262,25,25,0.0,No,2021-07-01 11:13:51.327019
Indian Civilization | CULANTH 215S,SEM Section 01,6990,18,18,0.0,No,2021-07-01 11:13:53.686017
Introduction to Performance Studies | CULANTH 219S,SEM Section 01,8904,16,16,0.0,No,2021-07-01 11:13:56.049915
Global 'Mixed Race' Studies | CULANTH 220FS,SEM Section 01,4192,1,18,94.44444444444444,No,2021-07-01 11:13:58.437449
"Global Stories, Local Issues | CULANTH 223S",SEM Section 01,4189,18,18,0.0,No,2021-07-01 11:14:00.815084
Human Rights on Camera | CULANTH 228FS,SEM Section 01,4193,2,18,88.88888888888889,No,2021-07-01 11:14:03.220037
World of Korean Cinema | CULANTH 255,Lecture Section 01,6577,14,14,0.0,No,2021-07-01 11:14:05.932102
"Race, Genomics, and Society | CULANTH 261D",Lecture Section 001,7346,100,100,0.0,No,2021-07-01 11:14:08.766345
"Race, Genomics, and Society | CULANTH 261D",Discussion Section 01D,7347,19,19,0.0,Yes,2021-07-01 11:14:11.333796
"Race, Genomics, and Society | CULANTH 261D",Discussion Section 02D,7348,18,18,0.0,Yes,2021-07-01 11:14:13.912277
"Race, Genomics, and Society | CULANTH 261D",Discussion Section 03D,7349,19,19,0.0,Yes,2021-07-01 11:14:16.514908
"Race, Genomics, and Society | CULANTH 261D",Discussion Section 04D,7350,19,19,0.0,Yes,2021-07-01 11:14:19.070823
Documenting Black Experiences | CULANTH 262S,SEM Section 01,6667,13,13,0.0,No,2021-07-01 11:14:21.599869
Amazon.com and the Cybereconomy | CULANTH 273,Lecture Section 01,4203,30,30,0.0,No,2021-07-01 11:14:24.056789
Current Issues in Anthropology | CULANTH 290S,SEM Section 01,4167,18,18,0.0,No,2021-07-01 11:14:26.653718
Current Issues in Anthropology | CULANTH 290S,SEM Section 03,7564,18,18,0.0,No,2021-07-01 11:14:29.047240
Current Issues in Anthropology | CULANTH 290S,SEM Section 04,6812,18,18,0.0,No,2021-07-01 11:14:31.432424
Independent Study | CULANTH 291,IND Section 01,1230,10,10,0.0,No,2021-07-01 11:14:33.835075
Independent Study | CULANTH 291,IND Section 02,1231,10,10,0.0,No,2021-07-01 11:14:36.212570
Independent Study | CULANTH 291,IND Section 03,1232,10,10,0.0,No,2021-07-01 11:14:38.654534
Independent Study | CULANTH 291,IND Section 04,1233,10,10,0.0,No,2021-07-01 11:14:41.204772
Independent Study | CULANTH 291,IND Section 05,1234,10,10,0.0,No,2021-07-01 11:14:43.599250
Independent Study | CULANTH 291,IND Section 06,1235,10,10,0.0,No,2021-07-01 11:14:45.976160
Independent Study | CULANTH 291,IND Section 10,1237,10,10,0.0,No,2021-07-01 11:14:48.369191
Independent Study | CULANTH 291,IND Section 11,1238,10,10,0.0,No,2021-07-01 11:14:50.778803
Independent Study | CULANTH 291,IND Section 12,1239,10,10,0.0,No,2021-07-01 11:14:53.183736
Independent Study | CULANTH 291,IND Section 13,1240,10,10,0.0,No,2021-07-01 11:14:55.549382
Independent Study | CULANTH 291,IND Section 15,1241,10,10,0.0,No,2021-07-01 11:14:57.897699
Independent Study | CULANTH 291,IND Section 16,1242,10,10,0.0,No,2021-07-01 11:15:00.379379
Independent Study | CULANTH 291,IND Section 17,1243,10,10,0.0,No,2021-07-01 11:15:02.796901
Independent Study | CULANTH 291,IND Section 18,1244,10,10,0.0,No,2021-07-01 11:15:05.231748
Independent Study | CULANTH 291,IND Section 21,1246,10,10,0.0,No,2021-07-01 11:15:07.704708
Independent Study | CULANTH 291,IND Section 98,1247,10,10,0.0,No,2021-07-01 11:15:10.187650
Research Independent Study | CULANTH 293,IND Section 01,1268,10,10,0.0,No,2021-07-01 11:15:12.608829
Research Independent Study | CULANTH 293,IND Section 02,1269,10,10,0.0,No,2021-07-01 11:15:15.015653
Research Independent Study | CULANTH 293,IND Section 03,1270,10,10,0.0,No,2021-07-01 11:15:17.396605
Research Independent Study | CULANTH 293,IND Section 04,1271,10,10,0.0,No,2021-07-01 11:15:19.740026
Research Independent Study | CULANTH 293,IND Section 05,1272,10,10,0.0,No,2021-07-01 11:15:22.099633
Research Independent Study | CULANTH 293,IND Section 06,1273,10,10,0.0,No,2021-07-01 11:15:24.483199
Research Independent Study | CULANTH 293,IND Section 10,1275,10,10,0.0,No,2021-07-01 11:15:27.104176
Research Independent Study | CULANTH 293,IND Section 11,1276,10,10,0.0,No,2021-07-01 11:15:29.482012
Research Independent Study | CULANTH 293,IND Section 12,1277,10,10,0.0,No,2021-07-01 11:15:31.930364
Research Independent Study | CULANTH 293,IND Section 13,1278,10,10,0.0,No,2021-07-01 11:15:34.365098
Research Independent Study | CULANTH 293,IND Section 14,1279,10,10,0.0,No,2021-07-01 11:15:36.717409
Research Independent Study | CULANTH 293,IND Section 15,1280,10,10,0.0,No,2021-07-01 11:15:39.108053
Research Independent Study | CULANTH 293,IND Section 16,1281,10,10,0.0,No,2021-07-01 11:15:41.562773
Research Independent Study | CULANTH 293,IND Section 17,1282,10,10,0.0,No,2021-07-01 11:15:43.949628
Research Independent Study | CULANTH 293,IND Section 18,1283,10,10,0.0,No,2021-07-01 11:15:46.302298
Research Independent Study | CULANTH 293,IND Section 21,1285,10,10,0.0,No,2021-07-01 11:15:48.674243
Research Independent Study | CULANTH 293,IND Section 98,1286,10,10,0.0,No,2021-07-01 11:15:51.090714
Fieldwork Methods: Cultural Analysis and Interpretation | CULANTH 302,Lecture Section 01,4173,30,30,0.0,No,2021-07-01 11:15:53.434052
"Health, Culture, and the Latino Community | CULANTH 306",Lecture Section 01,5704,15,15,0.0,No,2021-07-01 11:15:55.767676
Development and Africa | CULANTH 307,Lecture Section 01,7319,50,50,0.0,No,2021-07-01 11:15:58.084347
Fundamentals of Global Mental Health | CULANTH 323,Lecture Section 01,5843,40,40,0.0,No,2021-07-01 11:16:00.432276
Displacements: Migration and Human Trafficking | CULANTH 342,Lecture Section 01,7369,20,20,0.0,No,2021-07-01 11:16:02.862996
