Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Elementary Modern Hebrew | HEBREW 101,Lecture Section 001,6527,15,15,0.0,No,2021-07-01 11:17:14.306816
Elementary Modern Hebrew | HEBREW 101,Discussion Section 01D,6528,15,15,0.0,No,2021-07-01 11:17:16.778030
Intermediate Modern Hebrew | HEBREW 203,Lecture Section 01,6531,15,15,0.0,No,2021-07-01 11:17:19.161359
Advanced Modern Hebrew | HEBREW 306S,SEM Section 01,6533,10,10,0.0,No,2021-07-01 11:17:21.569459
Independent Study | HEBREW 391,IND Section 01,2096,4,4,0.0,No,2021-07-01 11:17:23.918980
Independent Study | HEBREW 391,IND Section 02,2097,4,4,0.0,No,2021-07-01 11:17:26.269247
Elementary Modern Hebrew | HEBREW 101,Lecture Section 001,6527,15,15,0.0,No,2021-07-01 17:39:03.904850
Elementary Modern Hebrew | HEBREW 101,Discussion Section 01D,6528,15,15,0.0,No,2021-07-01 17:39:06.297520
Intermediate Modern Hebrew | HEBREW 203,Lecture Section 01,6531,15,15,0.0,No,2021-07-01 17:39:08.709516
Advanced Modern Hebrew | HEBREW 306S,SEM Section 01,6533,10,10,0.0,No,2021-07-01 17:39:11.159843
Independent Study | HEBREW 391,IND Section 01,2096,4,4,0.0,No,2021-07-01 17:39:13.686956
Independent Study | HEBREW 391,IND Section 02,2097,4,4,0.0,No,2021-07-01 17:39:16.043128
